attendance_id,lesson_id,student_id,attendance_status,remark
ATT0000050,L000049,STU0025,出席,
ATT0000051,L000050,STU0006,出席,
ATT0000052,L000050,STU0025,出席,
ATT0000053,L000051,STU0006,出席,
ATT0000054,L000051,STU0025,缺席,
ATT0000055,L000052,STU0006,请假,临时请假
ATT0000056,L000052,STU0025,出席,
ATT0000057,L000053,STU0006,请假,
ATT0000058,L000053,STU0025,出席,
ATT0000059,L000054,STU0006,出席,
ATT0000060,L000054,STU0025,出席,
ATT0000061,L000055,STU0006,出席,
ATT0000062,L000055,STU0025,出席,
ATT0000063,L000056,STU0006,出席,
ATT0000064,L000056,STU0025,请假,临时请假
ATT0000065,L000057,STU0006,出席,
ATT0000066,L000057,STU0025,出席,
ATT0000067,L000058,STU0006,出席,
ATT0000068,L000058,STU0025,请假,临时请假
ATT0000069,L000059,STU0006,出席,
ATT0000070,L000059,STU0025,出席,
ATT0000071,L000060,STU0006,请假,
ATT0000072,L000060,STU0025,出席,
ATT0000073,L000061,STU0006,缺席,
ATT0000074,L000061,STU0025,出席,
ATT0000075,L000062,STU0006,出席,
ATT0000076,L000062,STU0025,出席,
ATT0000077,L000063,STU0006,请假,临时请假
ATT0000078,L000063,STU0025,缺席,
ATT0000079,L000064,STU0006,出席,
ATT0000080,L000064,STU0025,出席,
ATT0000081,L000065,STU0006,其他,
ATT0000082,L000065,STU0025,请假,
ATT0000083,L000066,STU0006,出席,
ATT0000084,L000066,STU0025,请假,
ATT0000085,L000067,STU0006,出席,
ATT0000086,L000067,STU0025,出席,
ATT0000087,L000068,STU0006,出席,
ATT0000088,L000068,STU0025,出席,
ATT0000089,L000069,STU0006,出席,
ATT0000090,L000069,STU0025,出席,
ATT0000091,L000070,STU0006,出席,
ATT0000092,L000070,STU0025,出席,
ATT0000093,L000071,STU0006,出席,
ATT0000094,L000071,STU0025,出席,
ATT0000095,L000072,STU0006,出席,
ATT0000096,L000072,STU0025,出席,
ATT0000097,L000073,STU0006,出席,
ATT0000098,L000073,STU0025,出席,
ATT0000099,L000074,STU0006,请假,临时请假
ATT0000100,L000074,STU0025,缺席,
ATT0000101,L000075,STU0006,出席,
ATT0000102,L000075,STU0025,出席,
ATT0000103,L000076,STU0006,出席,
ATT0000104,L000076,STU0025,请假,临时请假
ATT0000105,L000077,STU0006,出席,
ATT0000106,L000077,STU0025,出席,
ATT0000107,L000078,STU0006,出席,
ATT0000108,L000078,STU0025,出席,
ATT0000109,L000079,STU0006,出席,
ATT0000110,L000079,STU0025,出席,
ATT0000111,L000080,STU0006,出席,
ATT0000112,L000080,STU0025,出席,
ATT0000113,L000081,STU0006,出席,
ATT0000114,L000081,STU0025,出席,
ATT0000115,L000082,STU0006,出席,
ATT0000116,L000082,STU0025,出席,
ATT0000117,L000083,STU0006,出席,
ATT0000118,L000083,STU0025,其他,
ATT0000119,L000084,STU0006,出席,
ATT0000120,L000084,STU0025,出席,
ATT0000121,L000085,STU0006,缺席,
ATT0000122,L000085,STU0025,出席,
ATT0000123,L000086,STU0006,出席,
ATT0000124,L000086,STU0025,出席,
ATT0000125,L000087,STU0006,出席,
ATT0000126,L000087,STU0025,出席,
ATT0000127,L000088,STU0006,出席,
ATT0000128,L000088,STU0025,请假,临时请假
ATT0000129,L000089,STU0006,出席,
ATT0000130,L000089,STU0025,出席,
ATT0000131,L000090,STU0006,出席,
ATT0000132,L000090,STU0025,出席,
ATT0000133,L000091,STU0072,出席,
ATT0000134,L000091,STU0109,出席,
ATT0000135,L000092,STU0072,出席,
ATT0000136,L000092,STU0109,缺席,
ATT0000137,L000093,STU0072,出席,
ATT0000138,L000093,STU0109,出席,
ATT0000139,L000094,STU0072,出席,
ATT0000140,L000094,STU0109,出席,
ATT0000141,L000095,STU0072,出席,
ATT0000142,L000095,STU0109,请假,临时请假
ATT0000143,L000096,STU0072,出席,
ATT0000144,L000096,STU0109,请假,临时请假
ATT0000145,L000097,STU0072,出席,
ATT0000146,L000097,STU0109,出席,
ATT0000147,L000098,STU0072,出席,
ATT0000148,L000098,STU0109,出席,
ATT0000149,L000099,STU0072,请假,
ATT0000150,L000099,STU0109,出席,
ATT0000151,L000100,STU0072,出席,
ATT0000152,L000100,STU0109,出席,
ATT0000153,L000101,STU0072,出席,
ATT0000154,L000101,STU0109,出席,
ATT0000155,L000102,STU0072,出席,
ATT0000156,L000102,STU0109,其他,
ATT0000157,L000103,STU0072,出席,
ATT0000158,L000103,STU0109,出席,
ATT0000159,L000104,STU0072,出席,
ATT0000160,L000104,STU0109,缺席,
ATT0000161,L000105,STU0072,出席,
ATT0000162,L000105,STU0109,出席,
ATT0000163,L000106,STU0072,请假,
ATT0000164,L000106,STU0109,出席,
ATT0000165,L000107,STU0072,出席,
ATT0000166,L000107,STU0109,出席,
ATT0000167,L000108,STU0072,出席,
ATT0000168,L000108,STU0109,出席,
ATT0000169,L000109,STU0072,请假,
ATT0000170,L000109,STU0109,请假,临时请假
ATT0000171,L000110,STU0072,出席,
ATT0000172,L000110,STU0109,出席,
ATT0000173,L000111,STU0072,出席,
ATT0000174,L000111,STU0109,出席,
ATT0000175,L000112,STU0072,出席,
ATT0000176,L000112,STU0109,出席,
ATT0000177,L000113,STU0072,请假,
ATT0000178,L000113,STU0109,出席,
ATT0000179,L000114,STU0072,出席,
ATT0000180,L000114,STU0109,出席,
ATT0000181,L000115,STU0072,出席,
ATT0000182,L000115,STU0109,出席,
ATT0000183,L000116,STU0072,出席,
ATT0000184,L000116,STU0109,出席,
ATT0000185,L000117,STU0072,出席,
ATT0000186,L000117,STU0109,出席,
ATT0000187,L000118,STU0072,出席,
ATT0000188,L000118,STU0109,请假,临时请假
ATT0000189,L000119,STU0072,出席,
ATT0000190,L000119,STU0109,出席,
ATT0000191,L000120,STU0072,出席,
ATT0000192,L000120,STU0109,出席,
ATT0000193,L000121,STU0072,出席,
ATT0000194,L000121,STU0109,出席,
ATT0000195,L000122,STU0072,出席,
ATT0000196,L000122,STU0109,出席,
ATT0000197,L000123,STU0072,出席,
ATT0000198,L000123,STU0109,出席,
ATT0000199,L000124,STU0072,出席,
ATT0000200,L000124,STU0109,出席,
ATT0000201,L000125,STU0072,出席,
ATT0000202,L000125,STU0109,出席,
ATT0000203,L000126,STU0072,出席,
ATT0000204,L000126,STU0109,出席,
ATT0000205,L000127,STU0072,出席,
ATT0000206,L000127,STU0109,出席,
ATT0000207,L000128,STU0072,出席,
ATT0000208,L000128,STU0109,出席,
ATT0000209,L000129,STU0072,出席,
ATT0000210,L000129,STU0109,出席,
ATT0000211,L000130,STU0072,出席,
ATT0000212,L000130,STU0109,出席,
ATT0000213,L000131,STU0072,出席,
ATT0000214,L000131,STU0109,出席,
ATT0000215,L000132,STU0072,缺席,
ATT0000216,L000132,STU0109,出席,
ATT0000217,L000133,STU0072,出席,
ATT0000218,L000133,STU0109,出席,
ATT0000219,L000134,STU0072,出席,
ATT0000220,L000134,STU0109,出席,
ATT0000221,L000135,STU0072,出席,
ATT0000222,L000135,STU0109,出席,
ATT0000223,L000136,STU0072,出席,
ATT0000224,L000136,STU0109,出席,
ATT0000225,L000137,STU0072,出席,
ATT0000226,L000137,STU0109,出席,
ATT0000227,L000138,STU0072,出席,
ATT0000228,L000138,STU0109,请假,
ATT0000229,L000139,STU0072,出席,
ATT0000230,L000139,STU0109,出席,
ATT0000231,L000140,STU0072,出席,
ATT0000232,L000140,STU0109,出席,
ATT0000233,L000141,STU0072,出席,
ATT0000234,L000141,STU0109,出席,
ATT0000235,L000142,STU0072,出席,
ATT0000236,L000142,STU0109,出席,
ATT0000237,L000143,STU0072,出席,
ATT0000238,L000143,STU0109,出席,
ATT0000239,L000144,STU0072,出席,
ATT0000240,L000144,STU0109,出席,
ATT0000241,L000145,STU0072,出席,
ATT0000242,L000145,STU0109,出席,
ATT0000243,L000146,STU0072,出席,
ATT0000244,L000146,STU0109,出席,
ATT0000245,L000147,STU0072,出席,
ATT0000246,L000147,STU0109,出席,
ATT0000247,L000148,STU0072,出席,
ATT0000248,L000148,STU0109,出席,
ATT0000249,L000149,STU0072,出席,
ATT0000250,L000149,STU0109,出席,
ATT0000251,L000150,STU0072,出席,
ATT0000252,L000150,STU0109,出席,
ATT0000253,L000151,STU0072,出席,
ATT0000254,L000151,STU0109,出席,
ATT0000255,L000152,STU0072,出席,
ATT0000256,L000152,STU0109,出席,
ATT0000257,L000153,STU0072,出席,
ATT0000258,L000153,STU0109,出席,
ATT0000259,L000154,STU0072,出席,
ATT0000260,L000154,STU0109,出席,
ATT0000261,L000155,STU0072,出席,
ATT0000262,L000155,STU0109,出席,
ATT0000263,L000156,STU0072,出席,
ATT0000264,L000156,STU0109,出席,
ATT0000265,L000157,STU0072,出席,
ATT0000266,L000157,STU0109,出席,
ATT0000267,L000158,STU0072,出席,
ATT0000268,L000158,STU0109,出席,
ATT0000269,L000159,STU0072,出席,
ATT0000270,L000159,STU0109,出席,
ATT0000271,L000160,STU0072,缺席,
ATT0000272,L000160,STU0109,出席,
ATT0000273,L000161,STU0082,出席,
ATT0000274,L000161,STU0110,出席,
ATT0000275,L000162,STU0082,出席,
ATT0000276,L000162,STU0110,出席,
ATT0000277,L000163,STU0082,出席,
ATT0000278,L000163,STU0110,出席,
ATT0000279,L000164,STU0082,出席,
ATT0000280,L000164,STU0110,出席,
ATT0000281,L000165,STU0082,出席,
ATT0000282,L000165,STU0110,出席,
ATT0000283,L000166,STU0082,出席,
ATT0000284,L000166,STU0110,出席,
ATT0000285,L000167,STU0082,出席,
ATT0000286,L000167,STU0110,出席,
ATT0000287,L000168,STU0082,请假,
ATT0000288,L000168,STU0110,出席,
ATT0000289,L000169,STU0082,出席,
ATT0000290,L000169,STU0110,出席,
ATT0000291,L000170,STU0082,出席,
ATT0000292,L000170,STU0110,出席,
ATT0000293,L000171,STU0082,出席,
ATT0000294,L000171,STU0110,出席,
ATT0000295,L000172,STU0082,出席,
ATT0000296,L000172,STU0110,出席,
ATT0000297,L000173,STU0082,出席,
ATT0000298,L000173,STU0110,出席,
ATT0000299,L000174,STU0082,出席,
ATT0000300,L000174,STU0110,出席,
ATT0000301,L000175,STU0082,出席,
ATT0000302,L000175,STU0110,出席,
ATT0000303,L000176,STU0082,出席,
ATT0000304,L000176,STU0110,出席,
ATT0000305,L000177,STU0082,出席,
ATT0000306,L000177,STU0110,出席,
ATT0000307,L000178,STU0082,出席,
ATT0000308,L000178,STU0110,出席,
ATT0000309,L000179,STU0082,出席,
ATT0000310,L000179,STU0110,出席,
ATT0000311,L000180,STU0082,出席,
ATT0000312,L000180,STU0110,出席,
ATT0000313,L000181,STU0082,出席,
ATT0000314,L000181,STU0110,出席,
ATT0000315,L000182,STU0082,出席,
ATT0000316,L000182,STU0110,出席,
ATT0000317,L000183,STU0082,出席,
ATT0000318,L000183,STU0110,请假,
ATT0000319,L000184,STU0082,出席,
ATT0000320,L000184,STU0110,请假,临时请假
ATT0000321,L000185,STU0082,缺席,
ATT0000322,L000185,STU0110,请假,临时请假
ATT0000323,L000186,STU0082,出席,
ATT0000324,L000186,STU0110,出席,
ATT0000325,L000187,STU0082,出席,
ATT0000326,L000187,STU0110,出席,
ATT0000327,L000188,STU0082,出席,
ATT0000328,L000188,STU0110,出席,
ATT0000329,L000189,STU0082,缺席,
ATT0000330,L000189,STU0110,出席,
ATT0000331,L000190,STU0003,出席,
ATT0000332,L000191,STU0003,请假,临时请假
ATT0000333,L000192,STU0003,请假,临时请假
ATT0000334,L000193,STU0003,出席,
ATT0000335,L000194,STU0003,出席,
ATT0000336,L000195,STU0003,缺席,
ATT0000337,L000196,STU0003,出席,
ATT0000338,L000197,STU0003,出席,
ATT0000339,L000198,STU0003,出席,
ATT0000340,L000199,STU0003,出席,
ATT0000341,L000200,STU0003,出席,
ATT0000342,L000201,STU0003,出席,
ATT0000343,L000202,STU0003,出席,
ATT0000344,L000203,STU0003,请假,临时请假
ATT0000345,L000204,STU0003,出席,
ATT0000346,L000205,STU0003,出席,
ATT0000347,L000206,STU0003,请假,
ATT0000348,L000207,STU0003,出席,
ATT0000349,L000208,STU0018,出席,
ATT0000350,L000209,STU0018,出席,
ATT0000351,L000210,STU0018,出席,
ATT0000352,L000211,STU0018,请假,临时请假
ATT0000353,L000212,STU0018,出席,
ATT0000354,L000213,STU0018,出席,
ATT0000355,L000214,STU0018,出席,
ATT0000356,L000215,STU0018,出席,
ATT0000357,L000216,STU0018,出席,
ATT0000358,L000217,STU0018,出席,
ATT0000359,L000218,STU0018,出席,
ATT0000360,L000219,STU0018,出席,
ATT0000361,L000220,STU0018,出席,
ATT0000362,L000221,STU0018,出席,
ATT0000363,L000222,STU0018,出席,
ATT0000364,L000223,STU0018,出席,
ATT0000365,L000224,STU0018,缺席,
ATT0000366,L000225,STU0018,出席,
ATT0000367,L000226,STU0018,出席,
ATT0000368,L000227,STU0018,出席,
ATT0000369,L000228,STU0018,出席,
ATT0000370,L000229,STU0023,出席,
ATT0000371,L000230,STU0023,出席,
ATT0000372,L000231,STU0023,出席,
ATT0000373,L000232,STU0023,出席,
ATT0000374,L000233,STU0023,出席,
ATT0000375,L000234,STU0023,请假,临时请假
ATT0000376,L000235,STU0023,出席,
ATT0000377,L000236,STU0023,出席,
ATT0000378,L000237,STU0023,出席,
ATT0000379,L000238,STU0023,出席,
ATT0000380,L000239,STU0023,出席,
ATT0000381,L000240,STU0023,出席,
ATT0000382,L000241,STU0023,出席,
ATT0000383,L000242,STU0023,出席,
ATT0000384,L000243,STU0023,请假,
ATT0000385,L000244,STU0023,出席,
ATT0000386,L000245,STU0023,出席,
ATT0000387,L000246,STU0023,缺席,
ATT0000388,L000247,STU0023,出席,
ATT0000389,L000248,STU0023,出席,
ATT0000390,L000249,STU0023,出席,
ATT0000391,L000250,STU0023,出席,
ATT0000392,L000251,STU0023,出席,
ATT0000393,L000252,STU0023,出席,
ATT0000394,L000253,STU0023,出席,
ATT0000395,L000254,STU0023,请假,
ATT0000396,L000255,STU0023,出席,
ATT0000397,L000256,STU0023,出席,
ATT0000398,L000257,STU0023,出席,
ATT0000399,L000258,STU0023,出席,
ATT0000400,L000259,STU0023,缺席,
ATT0000401,L000260,STU0023,出席,
ATT0000402,L000261,STU0023,出席,
ATT0000403,L000262,STU0023,出席,
ATT0000404,L000263,STU0023,缺席,
ATT0000405,L000264,STU0023,出席,
ATT0000406,L000265,STU0023,出席,
ATT0000407,L000266,STU0023,出席,
ATT0000408,L000267,STU0023,出席,
ATT0000409,L000268,STU0023,出席,
ATT0000410,L000269,STU0023,出席,
ATT0000411,L000270,STU0023,请假,临时请假
ATT0000412,L000271,STU0023,出席,
ATT0000413,L000272,STU0023,出席,
ATT0000414,L000273,STU0023,出席,
ATT0000415,L000274,STU0023,出席,
ATT0000416,L000275,STU0023,出席,
ATT0000417,L000276,STU0023,缺席,
ATT0000418,L000277,STU0023,出席,
ATT0000419,L000278,STU0023,出席,
ATT0000420,L000279,STU0023,出席,
ATT0000421,L000280,STU0023,出席,
ATT0000422,L000281,STU0023,出席,
ATT0000423,L000282,STU0023,出席,
ATT0000424,L000283,STU0023,出席,
ATT0000425,L000284,STU0023,出席,
ATT0000426,L000285,STU0023,出席,
ATT0000427,L000286,STU0023,出席,
ATT0000428,L000287,STU0023,出席,
ATT0000429,L000288,STU0023,缺席,
ATT0000430,L000289,STU0023,出席,
ATT0000431,L000290,STU0023,出席,
ATT0000432,L000291,STU0023,出席,
ATT0000433,L000292,STU0023,出席,
ATT0000434,L000293,STU0023,出席,
ATT0000435,L000294,STU0023,出席,
ATT0000436,L000295,STU0023,出席,
ATT0000437,L000296,STU0023,其他,
ATT0000438,L000297,STU0023,出席,
ATT0000439,L000298,STU0023,出席,
ATT0000440,L000299,STU0023,出席,
ATT0000441,L000300,STU0023,出席,
ATT0000442,L000301,STU0023,出席,
ATT0000443,L000302,STU0023,出席,
ATT0000444,L000303,STU0120,出席,
ATT0000445,L000304,STU0120,出席,
ATT0000446,L000305,STU0120,出席,
ATT0000447,L000306,STU0120,出席,
ATT0000448,L000307,STU0120,缺席,
ATT0000449,L000308,STU0120,出席,
ATT0000450,L000309,STU0120,出席,
ATT0000451,L000310,STU0120,出席,
ATT0000452,L000311,STU0120,出席,
ATT0000453,L000312,STU0120,出席,
ATT0000454,L000313,STU0120,出席,
ATT0000455,L000314,STU0120,出席,
ATT0000456,L000315,STU0120,出席,
ATT0000457,L000316,STU0120,请假,
ATT0000458,L000317,STU0120,出席,
ATT0000459,L000318,STU0120,出席,
ATT0000460,L000319,STU0126,出席,
ATT0000461,L000319,STU0047,出席,
ATT0000462,L000320,STU0126,出席,
ATT0000463,L000320,STU0047,请假,
ATT0000464,L000321,STU0126,出席,
ATT0000465,L000321,STU0047,出席,
ATT0000466,L000322,STU0126,请假,临时请假
ATT0000467,L000322,STU0047,请假,临时请假
ATT0000468,L000323,STU0126,出席,
ATT0000469,L000323,STU0047,出席,
ATT0000470,L000324,STU0126,出席,
ATT0000471,L000324,STU0047,请假,
ATT0000472,L000325,STU0126,请假,
ATT0000473,L000325,STU0047,出席,
ATT0000474,L000326,STU0126,出席,
ATT0000475,L000326,STU0047,出席,
ATT0000476,L000327,STU0126,出席,
ATT0000477,L000327,STU0047,出席,
ATT0000478,L000328,STU0126,出席,
ATT0000479,L000328,STU0047,出席,
ATT0000480,L000329,STU0126,缺席,
ATT0000481,L000329,STU0047,出席,
ATT0000482,L000330,STU0126,请假,临时请假
ATT0000483,L000330,STU0047,出席,
ATT0000484,L000331,STU0126,出席,
ATT0000485,L000331,STU0047,出席,
ATT0000486,L000332,STU0126,出席,
ATT0000487,L000332,STU0047,出席,
ATT0000488,L000333,STU0126,出席,
ATT0000489,L000333,STU0047,出席,
ATT0000490,L000334,STU0126,出席,
ATT0000491,L000334,STU0047,出席,
ATT0000492,L000335,STU0126,出席,
ATT0000493,L000335,STU0047,出席,
ATT0000494,L000336,STU0126,出席,
ATT0000495,L000336,STU0047,出席,
ATT0000496,L000337,STU0126,出席,
ATT0000497,L000337,STU0047,请假,临时请假
ATT0000498,L000338,STU0126,出席,
ATT0000499,L000338,STU0047,出席,
ATT0000500,L000339,STU0126,出席,
ATT0000501,L000339,STU0047,出席,
ATT0000502,L000340,STU0126,出席,
ATT0000503,L000340,STU0047,出席,
ATT0000504,L000341,STU0126,出席,
ATT0000505,L000341,STU0047,出席,
ATT0000506,L000342,STU0126,出席,
ATT0000507,L000342,STU0047,出席,
ATT0000508,L000343,STU0126,出席,
ATT0000509,L000343,STU0047,出席,
ATT0000510,L000344,STU0126,出席,
ATT0000511,L000344,STU0047,出席,
ATT0000512,L000345,STU0126,出席,
ATT0000513,L000345,STU0047,出席,
ATT0000514,L000346,STU0126,出席,
ATT0000515,L000346,STU0047,其他,
ATT0000516,L000347,STU0126,出席,
ATT0000517,L000347,STU0047,出席,
ATT0000518,L000348,STU0126,出席,
ATT0000519,L000348,STU0047,出席,
ATT0000520,L000349,STU0126,请假,
ATT0000521,L000349,STU0047,请假,
ATT0000522,L000350,STU0126,出席,
ATT0000523,L000350,STU0047,出席,
ATT0000524,L000351,STU0126,出席,
ATT0000525,L000351,STU0047,出席,
ATT0000526,L000352,STU0126,出席,
ATT0000527,L000352,STU0047,出席,
ATT0000528,L000353,STU0126,请假,临时请假
ATT0000529,L000353,STU0047,出席,
ATT0000530,L000354,STU0126,请假,
ATT0000531,L000354,STU0047,请假,临时请假
ATT0000532,L000355,STU0126,出席,
ATT0000533,L000355,STU0047,缺席,
ATT0000534,L000356,STU0126,出席,
ATT0000535,L000356,STU0047,其他,
ATT0000536,L000357,STU0126,出席,
ATT0000537,L000357,STU0047,出席,
ATT0000538,L000358,STU0126,出席,
ATT0000539,L000358,STU0047,请假,临时请假
ATT0000540,L000359,STU0126,请假,
ATT0000541,L000359,STU0047,出席,
ATT0000542,L000360,STU0126,出席,
ATT0000543,L000360,STU0047,出席,
ATT0000544,L000361,STU0126,出席,
ATT0000545,L000361,STU0047,出席,
ATT0000546,L000362,STU0126,出席,
ATT0000547,L000362,STU0047,出席,
ATT0000548,L000363,STU0126,出席,
ATT0000549,L000363,STU0047,出席,
ATT0000550,L000364,STU0126,出席,
ATT0000551,L000364,STU0047,出席,
ATT0000552,L000365,STU0126,出席,
ATT0000553,L000365,STU0047,其他,
ATT0000554,L000366,STU0126,出席,
ATT0000555,L000366,STU0047,缺席,
ATT0000556,L000367,STU0126,出席,
ATT0000557,L000367,STU0047,出席,
ATT0000558,L000368,STU0126,出席,
ATT0000559,L000368,STU0047,缺席,
ATT0000560,L000369,STU0126,出席,
ATT0000561,L000369,STU0047,出席,
ATT0000562,L000370,STU0126,出席,
ATT0000563,L000370,STU0047,出席,
ATT0000564,L000371,STU0135,出席,
ATT0000565,L000371,STU0074,出席,
ATT0000566,L000371,STU0028,出席,
ATT0000567,L000371,STU0150,缺席,
ATT0000568,L000372,STU0135,出席,
ATT0000569,L000372,STU0074,出席,
ATT0000570,L000372,STU0028,出席,
ATT0000571,L000372,STU0150,出席,
ATT0000572,L000373,STU0135,出席,
ATT0000573,L000373,STU0074,出席,
ATT0000574,L000373,STU0028,出席,
ATT0000575,L000373,STU0150,出席,
ATT0000576,L000374,STU0135,出席,
ATT0000577,L000374,STU0074,出席,
ATT0000578,L000374,STU0028,出席,
ATT0000579,L000374,STU0150,出席,
ATT0000580,L000375,STU0135,出席,
ATT0000581,L000375,STU0074,出席,
ATT0000582,L000375,STU0028,出席,
ATT0000583,L000375,STU0150,出席,
ATT0000584,L000376,STU0135,出席,
ATT0000585,L000376,STU0074,出席,
ATT0000586,L000376,STU0028,请假,临时请假
ATT0000587,L000376,STU0150,出席,
ATT0000588,L000377,STU0135,出席,
ATT0000589,L000377,STU0074,出席,
ATT0000590,L000377,STU0028,出席,
ATT0000591,L000377,STU0150,出席,
ATT0000592,L000378,STU0135,请假,
ATT0000593,L000378,STU0074,出席,
ATT0000594,L000378,STU0028,出席,
ATT0000595,L000378,STU0150,出席,
ATT0000596,L000379,STU0135,出席,
ATT0000597,L000379,STU0074,请假,临时请假
ATT0000598,L000379,STU0028,出席,
ATT0000599,L000379,STU0150,出席,
ATT0000600,L000380,STU0135,请假,临时请假
ATT0000601,L000380,STU0074,出席,
ATT0000602,L000380,STU0028,出席,
ATT0000603,L000380,STU0150,其他,
ATT0000604,L000381,STU0135,出席,
ATT0000605,L000381,STU0074,请假,临时请假
ATT0000606,L000381,STU0028,出席,
ATT0000607,L000381,STU0150,出席,
ATT0000608,L000382,STU0135,出席,
ATT0000609,L000382,STU0074,请假,临时请假
ATT0000610,L000382,STU0028,出席,
ATT0000611,L000382,STU0150,缺席,
ATT0000612,L000383,STU0135,出席,
ATT0000613,L000383,STU0074,出席,
ATT0000614,L000383,STU0028,出席,
ATT0000615,L000383,STU0150,出席,
ATT0000616,L000384,STU0135,出席,
ATT0000617,L000384,STU0074,出席,
ATT0000618,L000384,STU0028,出席,
ATT0000619,L000384,STU0150,出席,
ATT0000620,L000385,STU0135,出席,
ATT0000621,L000385,STU0074,出席,
ATT0000622,L000385,STU0028,出席,
ATT0000623,L000385,STU0150,请假,
ATT0000624,L000386,STU0135,出席,
ATT0000625,L000386,STU0074,出席,
ATT0000626,L000386,STU0028,出席,
ATT0000627,L000386,STU0150,出席,
ATT0000628,L000387,STU0135,出席,
ATT0000629,L000387,STU0074,出席,
ATT0000630,L000387,STU0028,缺席,
ATT0000631,L000387,STU0150,出席,
ATT0000632,L000388,STU0135,出席,
ATT0000633,L000388,STU0074,出席,
ATT0000634,L000388,STU0028,出席,
ATT0000635,L000388,STU0150,出席,
ATT0000636,L000389,STU0135,出席,
ATT0000637,L000389,STU0074,出席,
ATT0000638,L000389,STU0028,出席,
ATT0000639,L000389,STU0150,出席,
ATT0000640,L000390,STU0135,出席,
ATT0000641,L000390,STU0074,出席,
ATT0000642,L000390,STU0028,出席,
ATT0000643,L000390,STU0150,缺席,
ATT0000644,L000391,STU0135,出席,
ATT0000645,L000391,STU0074,其他,
ATT0000646,L000391,STU0028,出席,
ATT0000647,L000391,STU0150,缺席,
ATT0000648,L000392,STU0066,出席,
ATT0000649,L000393,STU0066,出席,
ATT0000650,L000394,STU0066,出席,
ATT0000651,L000395,STU0066,出席,
ATT0000652,L000396,STU0066,出席,
ATT0000653,L000397,STU0066,出席,
ATT0000654,L000398,STU0066,缺席,
ATT0000655,L000399,STU0066,出席,
ATT0000656,L000400,STU0066,出席,
ATT0000657,L000401,STU0066,出席,
ATT0000658,L000402,STU0066,出席,
ATT0000659,L000403,STU0066,出席,
ATT0000660,L000404,STU0066,出席,
ATT0000661,L000405,STU0066,出席,
ATT0000662,L000406,STU0066,请假,临时请假
ATT0000663,L000407,STU0066,出席,
ATT0000664,L000408,STU0066,出席,
ATT0000665,L000409,STU0066,出席,
ATT0000666,L000410,STU0066,出席,
ATT0000667,L000411,STU0066,出席,
ATT0000668,L000412,STU0066,出席,
ATT0000669,L000413,STU0066,出席,
ATT0000670,L000414,STU0066,出席,
ATT0000671,L000415,STU0066,出席,
ATT0000672,L000416,STU0066,出席,
ATT0000673,L000417,STU0066,请假,临时请假
ATT0000674,L000418,STU0066,出席,
ATT0000675,L000419,STU0066,出席,
ATT0000676,L000420,STU0066,出席,
ATT0000677,L000421,STU0066,出席,
ATT0000678,L000422,STU0066,出席,
ATT0000679,L000423,STU0066,出席,
ATT0000680,L000424,STU0066,出席,
ATT0000681,L000425,STU0066,出席,
ATT0000682,L000426,STU0066,出席,
ATT0000683,L000427,STU0066,出席,
ATT0000684,L000428,STU0066,出席,
ATT0000685,L000429,STU0066,请假,
ATT0000686,L000430,STU0066,请假,
ATT0000687,L000431,STU0066,请假,临时请假
ATT0000688,L000432,STU0066,出席,
