lesson_id,schedule_id,student_id,teacher_id,lesson_date,duration,feedback
L000067,SCH0002,,T017,2026-03-21,1.67,语法掌握一般
L000068,SCH0002,,T017,2026-03-28,1.0,完成本节内容
L000069,SCH0002,,T017,2026-04-04,1.0,需要加强口语练习
L000070,SCH0002,,T017,2026-04-11,2.0,完成本节内容
L000071,SCH0002,,T017,2026-04-18,1.5,完成本节内容
L000072,SCH0002,,T017,2026-04-25,1.0,课堂参与积极
L000073,SCH0002,,T017,2026-05-02,1.5,课堂参与积极
L000074,SCH0002,,T017,2026-05-09,1.0,完成本节内容
L000075,SCH0002,,T017,2026-05-16,2.0,完成本节内容
L000076,SCH0002,,T017,2026-05-23,1.0,完成本节内容
L000077,SCH0002,,T017,2026-05-30,1.67,语法掌握一般
L000078,SCH0002,,T017,2026-06-06,1.67,需要加强口语练习
L000079,SCH0002,,T017,2026-06-13,1.0,语法掌握一般
L000080,SCH0002,,T017,2026-06-20,1.67,课堂参与积极
L000081,SCH0002,,T017,2026-06-27,1.0,完成本节内容
L000082,SCH0002,,T017,2026-07-04,1.0,
L000083,SCH0002,,T017,2026-07-11,1.5,
L000084,SCH0002,,T017,2026-07-18,2.0,需要加强口语练习
L000085,SCH0002,,T017,2026-07-25,1.0,课堂参与积极
L000086,SCH0002,,T017,2026-08-01,1.67,完成本节内容
L000087,SCH0002,,T017,2026-08-08,2.0,需要加强口语练习
L000088,SCH0002,,T017,2026-08-15,1.5,完成本节内容
L000089,SCH0002,,T017,2026-08-22,1.67,需要加强口语练习
L000090,SCH0002,,T017,2026-08-29,1.67,完成本节内容
L000091,SCH0003,,T018,2025-05-01,1.5,语法掌握一般
L000092,SCH0003,,T018,2025-05-08,1.67,课堂参与积极
L000093,SCH0003,,T018,2025-05-15,1.67,完成本节内容
L000094,SCH0003,,T018,2025-05-22,1.67,需要加强口语练习
L000095,SCH0003,,T018,2025-05-29,2.0,语法掌握一般
L000096,SCH0003,,T018,2025-06-05,1.0,需要加强口语练习
L000097,SCH0003,,T018,2025-06-12,1.67,完成本节内容
L000098,SCH0003,,T018,2025-06-19,1.0,完成本节内容
L000099,SCH0003,,T018,2025-06-26,1.5,完成本节内容
L000100,SCH0003,,T018,2025-07-03,1.67,完成本节内容
L000101,SCH0003,,T018,2025-07-10,1.5,完成本节内容
L000102,SCH0003,,T018,2025-07-17,2.0,需要加强口语练习
L000103,SCH0003,,T018,2025-07-24,1.67,需要加强口语练习
L000104,SCH0003,,T018,2025-07-31,1.0,课堂参与积极
L000105,SCH0003,,T018,2025-08-07,1.67,语法掌握一般
L000106,SCH0003,,T018,2025-08-14,1.0,需要加强口语练习
L000107,SCH0003,,T018,2025-08-21,1.0,语法掌握一般
L000108,SCH0003,,T018,2025-08-28,1.0,课堂参与积极
L000109,SCH0003,,T018,2025-09-04,1.0,完成本节内容
L000110,SCH0003,,T018,2025-09-11,1.0,课堂参与积极
L000111,SCH0003,,T018,2025-09-18,1.0,完成本节内容
L000112,SCH0003,,T018,2025-09-25,1.67,课堂参与积极
L000113,SCH0003,,T018,2025-10-02,1.67,完成本节内容
L000114,SCH0003,,T018,2025-10-09,1.0,课堂参与积极
L000115,SCH0003,,T018,2025-10-16,2.0,语法掌握一般
L000116,SCH0003,,T018,2025-10-23,1.0,完成本节内容
L000117,SCH0003,,T018,2025-10-30,1.67,完成本节内容
L000118,SCH0003,,T018,2025-11-06,2.0,需要加强口语练习
L000119,SCH0003,,T018,2025-11-13,1.0,
L000120,SCH0003,,T018,2025-11-20,1.0,需要加强口语练习
L000121,SCH0003,,T018,2025-11-27,1.0,需要加强口语练习
L000122,SCH0003,,T018,2025-12-04,1.67,需要加强口语练习
L000123,SCH0003,,T018,2025-12-11,1.67,语法掌握一般
L000124,SCH0003,,T018,2025-12-18,1.67,需要加强口语练习
L000125,SCH0003,,T018,2025-12-25,1.67,语法掌握一般
L000126,SCH0003,,T018,2026-01-01,1.0,需要加强口语练习
L000127,SCH0003,,T018,2026-01-08,1.0,需要加强口语练习
L000128,SCH0003,,T018,2026-01-15,1.67,语法掌握一般
L000129,SCH0003,,T018,2026-01-22,2.0,需要加强口语练习
L000130,SCH0003,,T018,2026-01-29,1.5,
L000131,SCH0003,,T018,2026-02-05,1.0,课堂参与积极
L000132,SCH0003,,T018,2026-02-12,2.0,语法掌握一般
L000133,SCH0003,,T018,2026-02-19,1.0,课堂参与积极
L000134,SCH0003,,T018,2026-02-26,2.0,课堂参与积极
L000135,SCH0003,,T018,2026-03-05,1.67,
L000136,SCH0003,,T018,2026-03-12,1.5,课堂参与积极
L000137,SCH0003,,T018,2026-03-19,1.0,语法掌握一般
L000138,SCH0003,,T018,2026-03-26,1.67,课堂参与积极
L000139,SCH0003,,T018,2026-04-02,1.5,需要加强口语练习
L000140,SCH0003,,T018,2026-04-09,1.0,完成本节内容
L000141,SCH0003,,T018,2026-04-16,1.0,语法掌握一般
L000142,SCH0003,,T018,2026-04-23,1.0,
L000143,SCH0003,,T018,2026-04-30,2.0,需要加强口语练习
L000144,SCH0003,,T018,2026-05-07,1.0,课堂参与积极
L000145,SCH0003,,T018,2026-05-14,1.0,完成本节内容
L000146,SCH0003,,T018,2026-05-21,1.0,课堂参与积极
L000147,SCH0003,,T018,2026-05-28,1.0,需要加强口语练习
L000148,SCH0003,,T018,2026-06-04,1.0,课堂参与积极
L000149,SCH0003,,T018,2026-06-11,2.0,需要加强口语练习
L000150,SCH0003,,T018,2026-06-18,1.0,语法掌握一般
L000151,SCH0003,,T018,2026-06-25,2.0,
L000152,SCH0003,,T018,2026-07-02,1.5,完成本节内容
L000153,SCH0003,,T018,2026-07-09,1.67,课堂参与积极
L000154,SCH0003,,T018,2026-07-16,1.0,课堂参与积极
L000155,SCH0003,,T018,2026-07-23,1.5,课堂参与积极
L000156,SCH0003,,T018,2026-07-30,2.0,完成本节内容
L000157,SCH0003,,T018,2026-08-06,1.5,完成本节内容
L000158,SCH0003,,T018,2026-08-13,1.0,
L000159,SCH0003,,T018,2026-08-20,1.67,语法掌握一般
L000160,SCH0003,,T018,2026-08-27,1.0,完成本节内容
L000161,SCH0004,,T019,2026-02-09,2.0,语法掌握一般
L000162,SCH0004,,T019,2026-02-16,1.0,课堂参与积极
L000163,SCH0004,,T019,2026-02-23,1.67,语法掌握一般
L000164,SCH0004,,T019,2026-03-02,1.0,需要加强口语练习
L000165,SCH0004,,T019,2026-03-09,1.0,需要加强口语练习
L000166,SCH0004,,T019,2026-03-16,1.5,语法掌握一般
L000167,SCH0004,,T019,2026-03-23,2.0,语法掌握一般
L000168,SCH0004,,T019,2026-03-30,1.67,完成本节内容
L000169,SCH0004,,T019,2026-04-06,1.67,
L000170,SCH0004,,T019,2026-04-13,1.5,完成本节内容
L000171,SCH0004,,T019,2026-04-20,1.5,需要加强口语练习
L000172,SCH0004,,T019,2026-04-27,2.0,课堂参与积极
L000173,SCH0004,,T019,2026-05-04,1.0,完成本节内容
L000174,SCH0004,,T019,2026-05-11,1.5,需要加强口语练习
L000175,SCH0004,,T019,2026-05-18,1.0,完成本节内容
L000176,SCH0004,,T019,2026-05-25,1.0,完成本节内容
L000177,SCH0004,,T019,2026-06-01,1.0,
L000178,SCH0004,,T019,2026-06-08,1.67,
L000179,SCH0004,,T019,2026-06-15,2.0,需要加强口语练习
L000180,SCH0004,,T019,2026-06-22,1.67,课堂参与积极
L000181,SCH0004,,T019,2026-06-29,1.0,语法掌握一般
L000182,SCH0004,,T019,2026-07-06,1.67,课堂参与积极
L000183,SCH0004,,T019,2026-07-13,2.0,语法掌握一般
L000184,SCH0004,,T019,2026-07-20,1.0,课堂参与积极
L000185,SCH0004,,T019,2026-07-27,1.67,
L000186,SCH0004,,T019,2026-08-03,1.5,需要加强口语练习
L000187,SCH0004,,T019,2026-08-10,1.67,需要加强口语练习
L000188,SCH0004,,T019,2026-08-17,1.0,课堂参与积极
L000189,SCH0004,,T019,2026-08-24,1.67,
L000190,SCH0005,STU0003,T003,2026-04-28,1.0,完成本节内容
L000191,SCH0005,STU0003,T003,2026-05-05,1.0,语法掌握一般
L000192,SCH0005,STU0003,T003,2026-05-12,1.0,语法掌握一般
L000193,SCH0005,STU0003,T003,2026-05-19,1.67,完成本节内容
L000194,SCH0005,STU0003,T003,2026-05-26,1.67,课堂参与积极
L000195,SCH0005,STU0003,T003,2026-06-02,1.5,语法掌握一般
L000196,SCH0005,STU0003,T003,2026-06-09,1.67,完成本节内容
L000197,SCH0005,STU0003,T003,2026-06-16,1.0,完成本节内容
L000198,SCH0005,STU0003,T003,2026-06-23,1.5,语法掌握一般
L000199,SCH0005,STU0003,T003,2026-06-30,1.5,
L000200,SCH0005,STU0003,T003,2026-07-07,1.0,需要加强口语练习
L000201,SCH0005,STU0003,T003,2026-07-14,1.67,完成本节内容
L000202,SCH0005,STU0003,T003,2026-07-21,1.67,课堂参与积极
L000203,SCH0005,STU0003,T003,2026-07-28,1.0,完成本节内容
L000204,SCH0005,STU0003,T003,2026-08-04,2.0,
L000205,SCH0005,STU0003,T003,2026-08-11,1.67,课堂参与积极
L000206,SCH0005,STU0003,T003,2026-08-18,1.0,
L000207,SCH0005,STU0003,T003,2026-08-25,2.0,语法掌握一般
L000208,SCH0006,STU0018,T017,2026-04-11,1.0,课堂参与积极
L000209,SCH0006,STU0018,T017,2026-04-18,1.0,课堂参与积极
L000210,SCH0006,STU0018,T017,2026-04-25,1.5,完成本节内容
L000211,SCH0006,STU0018,T017,2026-05-02,1.0,课堂参与积极
L000212,SCH0006,STU0018,T017,2026-05-09,1.67,完成本节内容
L000213,SCH0006,STU0018,T017,2026-05-16,1.0,完成本节内容
L000214,SCH0006,STU0018,T017,2026-05-23,1.0,完成本节内容
L000215,SCH0006,STU0018,T017,2026-05-30,1.5,需要加强口语练习
L000216,SCH0006,STU0018,T017,2026-06-06,2.0,语法掌握一般
L000217,SCH0006,STU0018,T017,2026-06-13,1.0,
L000218,SCH0006,STU0018,T017,2026-06-20,2.0,完成本节内容
L000219,SCH0006,STU0018,T017,2026-06-27,1.0,需要加强口语练习
L000220,SCH0006,STU0018,T017,2026-07-04,1.0,完成本节内容
L000221,SCH0006,STU0018,T017,2026-07-11,1.0,完成本节内容
L000222,SCH0006,STU0018,T017,2026-07-18,1.0,完成本节内容
L000223,SCH0006,STU0018,T017,2026-07-25,1.67,完成本节内容
L000224,SCH0006,STU0018,T017,2026-08-01,1.0,
L000225,SCH0006,STU0018,T017,2026-08-08,1.0,语法掌握一般
L000226,SCH0006,STU0018,T017,2026-08-15,1.67,语法掌握一般
L000227,SCH0006,STU0018,T017,2026-08-22,2.0,
L000228,SCH0006,STU0018,T017,2026-08-29,1.67,课堂参与积极
L000229,SCH0007,STU0023,T017,2025-04-01,1.0,需要加强口语练习
L000230,SCH0007,STU0023,T017,2025-04-08,1.0,需要加强口语练习
L000231,SCH0007,STU0023,T017,2025-04-15,1.67,语法掌握一般
L000232,SCH0007,STU0023,T017,2025-04-22,1.67,课堂参与积极
L000233,SCH0007,STU0023,T017,2025-04-29,1.0,需要加强口语练习
L000234,SCH0007,STU0023,T017,2025-05-06,1.67,完成本节内容
L000235,SCH0007,STU0023,T017,2025-05-13,1.0,语法掌握一般
L000236,SCH0007,STU0023,T017,2025-05-20,1.0,
L000237,SCH0007,STU0023,T017,2025-05-27,1.67,完成本节内容
L000238,SCH0007,STU0023,T017,2025-06-03,2.0,课堂参与积极
L000239,SCH0007,STU0023,T017,2025-06-10,1.5,完成本节内容
L000240,SCH0007,STU0023,T017,2025-06-17,1.0,需要加强口语练习
L000241,SCH0007,STU0023,T017,2025-06-24,1.5,需要加强口语练习
L000242,SCH0007,STU0023,T017,2025-07-01,1.0,语法掌握一般
L000243,SCH0007,STU0023,T017,2025-07-08,1.0,
L000244,SCH0007,STU0023,T017,2025-07-15,1.0,需要加强口语练习
L000245,SCH0007,STU0023,T017,2025-07-22,1.0,语法掌握一般
L000246,SCH0007,STU0023,T017,2025-07-29,1.5,语法掌握一般
L000247,SCH0007,STU0023,T017,2025-08-05,1.0,需要加强口语练习
L000248,SCH0007,STU0023,T017,2025-08-12,1.0,完成本节内容
L000249,SCH0007,STU0023,T017,2025-08-19,1.0,
L000250,SCH0007,STU0023,T017,2025-08-26,1.0,语法掌握一般
L000251,SCH0007,STU0023,T017,2025-09-02,1.0,完成本节内容
L000252,SCH0007,STU0023,T017,2025-09-09,1.0,完成本节内容
L000253,SCH0007,STU0023,T017,2025-09-16,1.0,课堂参与积极
L000254,SCH0007,STU0023,T017,2025-09-23,1.0,需要加强口语练习
L000255,SCH0007,STU0023,T017,2025-09-30,1.5,完成本节内容
L000256,SCH0007,STU0023,T017,2025-10-07,1.0,语法掌握一般
L000257,SCH0007,STU0023,T017,2025-10-14,1.0,需要加强口语练习
L000258,SCH0007,STU0023,T017,2025-10-21,1.67,需要加强口语练习
L000259,SCH0007,STU0023,T017,2025-10-28,1.0,完成本节内容
L000260,SCH0007,STU0023,T017,2025-11-04,1.67,语法掌握一般
L000261,SCH0007,STU0023,T017,2025-11-11,2.0,需要加强口语练习
L000262,SCH0007,STU0023,T017,2025-11-18,1.0,完成本节内容
L000263,SCH0007,STU0023,T017,2025-11-25,1.5,语法掌握一般
L000264,SCH0007,STU0023,T017,2025-12-02,1.67,课堂参与积极
L000265,SCH0007,STU0023,T017,2025-12-09,1.0,完成本节内容
L000266,SCH0007,STU0023,T017,2025-12-16,1.0,完成本节内容
L000267,SCH0007,STU0023,T017,2025-12-23,1.67,完成本节内容
L000268,SCH0007,STU0023,T017,2025-12-30,1.0,语法掌握一般
L000269,SCH0007,STU0023,T017,2026-01-06,1.0,需要加强口语练习
L000270,SCH0007,STU0023,T017,2026-01-13,1.0,完成本节内容
L000271,SCH0007,STU0023,T017,2026-01-20,1.67,需要加强口语练习
L000272,SCH0007,STU0023,T017,2026-01-27,1.0,需要加强口语练习
L000273,SCH0007,STU0023,T017,2026-02-03,1.67,需要加强口语练习
L000274,SCH0007,STU0023,T017,2026-02-10,1.0,完成本节内容
L000275,SCH0007,STU0023,T017,2026-02-17,1.5,完成本节内容
L000276,SCH0007,STU0023,T017,2026-02-24,1.5,需要加强口语练习
L000277,SCH0007,STU0023,T017,2026-03-03,2.0,课堂参与积极
L000278,SCH0007,STU0023,T017,2026-03-10,1.0,课堂参与积极
L000279,SCH0007,STU0023,T017,2026-03-17,1.67,完成本节内容
L000280,SCH0007,STU0023,T017,2026-03-24,1.67,课堂参与积极
L000281,SCH0007,STU0023,T017,2026-03-31,1.0,语法掌握一般
L000282,SCH0007,STU0023,T017,2026-04-07,1.67,
L000283,SCH0007,STU0023,T017,2026-04-14,1.67,完成本节内容
L000284,SCH0007,STU0023,T017,2026-04-21,1.0,完成本节内容
L000285,SCH0007,STU0023,T017,2026-04-28,1.5,完成本节内容
L000286,SCH0007,STU0023,T017,2026-05-05,1.0,需要加强口语练习
L000287,SCH0007,STU0023,T017,2026-05-12,1.0,完成本节内容
L000288,SCH0007,STU0023,T017,2026-05-19,1.0,课堂参与积极
L000289,SCH0007,STU0023,T017,2026-05-26,1.67,语法掌握一般
L000290,SCH0007,STU0023,T017,2026-06-02,1.0,需要加强口语练习
L000291,SCH0007,STU0023,T017,2026-06-09,2.0,
L000292,SCH0007,STU0023,T017,2026-06-16,2.0,
L000293,SCH0007,STU0023,T017,2026-06-23,1.67,语法掌握一般
L000294,SCH0007,STU0023,T017,2026-06-30,1.0,需要加强口语练习
L000295,SCH0007,STU0023,T017,2026-07-07,1.67,需要加强口语练习
L000296,SCH0007,STU0023,T017,2026-07-14,1.5,语法掌握一般
L000297,SCH0007,STU0023,T017,2026-07-21,1.0,需要加强口语练习
L000298,SCH0007,STU0023,T017,2026-07-28,1.67,需要加强口语练习
L000299,SCH0007,STU0023,T017,2026-08-04,1.67,课堂参与积极
L000300,SCH0007,STU0023,T017,2026-08-11,1.67,需要加强口语练习
L000301,SCH0007,STU0023,T017,2026-08-18,2.0,课堂参与积极
L000302,SCH0007,STU0023,T017,2026-08-25,1.0,课堂参与积极
L000303,SCH0008,STU0120,T010,2026-05-16,1.0,
L000304,SCH0008,STU0120,T010,2026-05-23,1.5,需要加强口语练习
L000305,SCH0008,STU0120,T010,2026-05-30,1.0,课堂参与积极
L000306,SCH0008,STU0120,T010,2026-06-06,1.0,完成本节内容
L000307,SCH0008,STU0120,T010,2026-06-13,1.5,语法掌握一般
L000308,SCH0008,STU0120,T010,2026-06-20,1.67,完成本节内容
L000309,SCH0008,STU0120,T010,2026-06-27,1.0,需要加强口语练习
L000310,SCH0008,STU0120,T010,2026-07-04,1.0,语法掌握一般
L000311,SCH0008,STU0120,T010,2026-07-11,1.0,完成本节内容
L000312,SCH0008,STU0120,T010,2026-07-18,1.0,课堂参与积极
L000313,SCH0008,STU0120,T010,2026-07-25,1.0,完成本节内容
L000314,SCH0008,STU0120,T010,2026-08-01,1.0,课堂参与积极
L000315,SCH0008,STU0120,T010,2026-08-08,1.0,课堂参与积极
L000316,SCH0008,STU0120,T010,2026-08-15,1.0,需要加强口语练习
L000317,SCH0008,STU0120,T010,2026-08-22,1.0,完成本节内容
L000318,SCH0008,STU0120,T010,2026-08-29,1.67,完成本节内容
L000319,SCH0009,,T010,2025-09-05,1.0,需要加强口语练习
L000320,SCH0009,,T010,2025-09-12,1.67,需要加强口语练习
L000321,SCH0009,,T010,2025-09-19,1.0,课堂参与积极
L000322,SCH0009,,T010,2025-09-26,1.67,完成本节内容
L000323,SCH0009,,T010,2025-10-03,1.67,完成本节内容
L000324,SCH0009,,T010,2025-10-10,1.67,需要加强口语练习
L000325,SCH0009,,T010,2025-10-17,2.0,语法掌握一般
L000326,SCH0009,,T010,2025-10-24,1.0,课堂参与积极
L000327,SCH0009,,T010,2025-10-31,1.0,课堂参与积极
L000328,SCH0009,,T010,2025-11-07,1.67,课堂参与积极
L000329,SCH0009,,T010,2025-11-14,1.0,课堂参与积极
L000330,SCH0009,,T010,2025-11-21,1.0,语法掌握一般
L000331,SCH0009,,T010,2025-11-28,2.0,完成本节内容
L000332,SCH0009,,T010,2025-12-05,1.0,课堂参与积极
L000333,SCH0009,,T010,2025-12-12,1.0,需要加强口语练习
L000334,SCH0009,,T010,2025-12-19,1.0,语法掌握一般
L000335,SCH0009,,T010,2025-12-26,1.67,语法掌握一般
L000336,SCH0009,,T010,2026-01-02,1.0,课堂参与积极
L000337,SCH0009,,T010,2026-01-09,1.0,完成本节内容
L000338,SCH0009,,T010,2026-01-16,2.0,课堂参与积极
L000339,SCH0009,,T010,2026-01-23,1.0,课堂参与积极
L000340,SCH0009,,T010,2026-01-30,1.0,完成本节内容
L000341,SCH0009,,T010,2026-02-06,2.0,完成本节内容
L000342,SCH0009,,T010,2026-02-13,1.67,
L000343,SCH0009,,T010,2026-02-20,1.0,完成本节内容
L000344,SCH0009,,T010,2026-02-27,1.0,语法掌握一般
L000345,SCH0009,,T010,2026-03-06,1.67,完成本节内容
L000346,SCH0009,,T010,2026-03-13,1.5,语法掌握一般
L000347,SCH0009,,T010,2026-03-20,1.0,语法掌握一般
L000348,SCH0009,,T010,2026-03-27,1.0,完成本节内容
L000349,SCH0009,,T010,2026-04-03,1.67,需要加强口语练习
L000350,SCH0009,,T010,2026-04-10,1.0,课堂参与积极
L000351,SCH0009,,T010,2026-04-17,1.5,完成本节内容
L000352,SCH0009,,T010,2026-04-24,1.0,需要加强口语练习
L000353,SCH0009,,T010,2026-05-01,1.0,完成本节内容
L000354,SCH0009,,T010,2026-05-08,1.5,需要加强口语练习
L000355,SCH0009,,T010,2026-05-15,1.67,完成本节内容
L000356,SCH0009,,T010,2026-05-22,1.0,语法掌握一般
L000357,SCH0009,,T010,2026-05-29,2.0,语法掌握一般
L000358,SCH0009,,T010,2026-06-05,1.0,完成本节内容
L000359,SCH0009,,T010,2026-06-12,2.0,需要加强口语练习
L000360,SCH0009,,T010,2026-06-19,1.5,课堂参与积极
L000361,SCH0009,,T010,2026-06-26,1.0,需要加强口语练习
L000362,SCH0009,,T010,2026-07-03,1.5,需要加强口语练习
L000363,SCH0009,,T010,2026-07-10,1.0,需要加强口语练习
L000364,SCH0009,,T010,2026-07-17,1.0,完成本节内容
L000365,SCH0009,,T010,2026-07-24,1.0,完成本节内容
L000366,SCH0009,,T010,2026-07-31,1.67,课堂参与积极
L000367,SCH0009,,T010,2026-08-07,1.0,课堂参与积极
L000368,SCH0009,,T010,2026-08-14,1.67,课堂参与积极
L000369,SCH0009,,T010,2026-08-21,1.5,需要加强口语练习
L000370,SCH0009,,T010,2026-08-28,2.0,完成本节内容
L000371,SCH0010,,T014,2026-04-07,1.5,需要加强口语练习
L000372,SCH0010,,T014,2026-04-14,1.0,课堂参与积极
L000373,SCH0010,,T014,2026-04-21,1.0,需要加强口语练习
L000374,SCH0010,,T014,2026-04-28,1.67,需要加强口语练习
L000375,SCH0010,,T014,2026-05-05,2.0,
L000376,SCH0010,,T014,2026-05-12,1.0,完成本节内容
L000377,SCH0010,,T014,2026-05-19,1.0,课堂参与积极
L000378,SCH0010,,T014,2026-05-26,1.0,完成本节内容
L000379,SCH0010,,T014,2026-06-02,1.0,课堂参与积极
L000380,SCH0010,,T014,2026-06-09,1.0,
L000381,SCH0010,,T014,2026-06-16,1.5,课堂参与积极
L000382,SCH0010,,T014,2026-06-23,2.0,完成本节内容
L000383,SCH0010,,T014,2026-06-30,2.0,课堂参与积极
L000384,SCH0010,,T014,2026-07-07,1.67,完成本节内容
L000385,SCH0010,,T014,2026-07-14,1.0,需要加强口语练习
L000386,SCH0010,,T014,2026-07-21,2.0,课堂参与积极
L000387,SCH0010,,T014,2026-07-28,1.0,需要加强口语练习
L000388,SCH0010,,T014,2026-08-04,1.0,需要加强口语练习
L000389,SCH0010,,T014,2026-08-11,2.0,课堂参与积极
L000390,SCH0010,,T014,2026-08-18,1.0,
L000391,SCH0010,,T014,2026-08-25,1.0,完成本节内容
L000392,SCH0011,STU0066,T013,2025-06-10,1.0,课堂参与积极
L000393,SCH0011,STU0066,T013,2025-06-17,1.5,语法掌握一般
L000394,SCH0011,STU0066,T013,2025-06-24,1.0,完成本节内容
L000395,SCH0011,STU0066,T013,2025-07-01,1.67,完成本节内容
L000396,SCH0011,STU0066,T013,2025-07-08,1.0,
L000397,SCH0011,STU0066,T013,2025-07-15,1.0,完成本节内容
L000398,SCH0011,STU0066,T013,2025-07-22,1.0,语法掌握一般
L000399,SCH0011,STU0066,T013,2025-07-29,1.0,需要加强口语练习
L000400,SCH0011,STU0066,T013,2025-08-05,1.0,语法掌握一般
L000401,SCH0011,STU0066,T013,2025-08-12,1.0,需要加强口语练习
L000402,SCH0011,STU0066,T013,2025-08-19,1.67,
L000403,SCH0011,STU0066,T013,2025-08-26,1.67,课堂参与积极
L000404,SCH0011,STU0066,T013,2025-09-02,1.0,完成本节内容
L000405,SCH0011,STU0066,T013,2025-09-09,2.0,课堂参与积极
L000406,SCH0011,STU0066,T013,2025-09-16,1.0,
L000407,SCH0011,STU0066,T013,2025-09-23,1.67,语法掌握一般
