customer_id,customer_account,source_channel,sales_id,status,create_date
CUS0154,user_0154,小红书,EMP003,跟进中,2026-07-23
CUS0155,user_0155,小红书,EMP003,试听后未转化,2026-04-02
CUS0156,user_0156,小红书,EMP001,试听后未转化,2026-03-09
CUS0157,user_0157,小红书,EMP003,跟进中,2026-08-02
CUS0158,user_0158,小红书,EMP003,试听后未转化,2026-07-29
CUS0159,user_0159,小红书,EMP001,跟进中,2026-04-26
CUS0160,user_0160,小红书,EMP003,试听后未转化,2026-06-17
CUS0161,user_0161,小红书,EMP003,已报名,2026-03-29
CUS0162,user_0162,小红书,EMP001,试听后未转化,2026-06-23
CUS0163,user_0163,小红书,EMP002,已报名,2026-05-02
CUS0164,user_0164,小红书,EMP003,试听后未转化,2026-03-10
CUS0165,user_0165,小红书,EMP003,试听后未转化,2026-04-01
CUS0166,user_0166,小红书,EMP001,已报名,2026-04-19
CUS0167,user_0167,小红书,EMP002,试听后未转化,2026-01-29
CUS0168,user_0168,小红书,EMP001,试听后未转化,2026-08-08
CUS0169,user_0169,小红书,EMP001,试听后未转化,2026-03-24
CUS0170,user_0170,小红书,EMP002,试听后未转化,2026-07-18
CUS0171,user_0171,小红书,EMP001,试听后未转化,2026-06-05
CUS0172,user_0172,小红书,EMP002,已报名,2026-03-06
CUS0173,user_0173,小红书,EMP001,跟进中,2026-06-21
CUS0174,user_0174,小红书,EMP001,试听后未转化,2026-03-08
CUS0175,user_0175,小红书,EMP003,已报名,2026-02-25
CUS0176,user_0176,小红书,EMP002,跟进中,2026-06-16
CUS0177,user_0177,小红书,EMP001,跟进中,2026-07-08
CUS0178,user_0178,小红书,EMP003,跟进中,2026-04-10
CUS0179,user_0179,小红书,EMP002,跟进中,2026-07-06
CUS0180,user_0180,小红书,EMP003,试听后未转化,2026-03-18
