schedule_change_id,schedule_id,change_time,old_start,new_start,change_reason,initiator_type,changed_by
CHG00038,SCH0030,2026-08-31 00:00:00,2026-07-16 10:00:00,2026-07-16 08:00:00,学生改时间,学生,EMP006
CHG00039,SCH0030,2026-08-11 08:00:00,2026-07-16 08:00:00,2026-07-16 10:00:00,销售承诺冲突,销售,EMP006
CHG00040,SCH0030,2026-08-22 10:00:00,2026-07-16 10:00:00,2026-07-16 11:00:00,其他,其他,EMP005
CHG00041,SCH0031,2025-08-07 10:00:00,2025-07-25 10:00:00,2025-07-25 13:00:00,销售承诺冲突,销售,EMP006
CHG00042,SCH0031,2025-09-17 13:00:00,2025-07-25 13:00:00,2025-07-25 11:00:00,学生改时间,学生,EMP005
CHG00043,SCH0031,2025-08-16 11:00:00,2025-07-25 11:00:00,2025-07-25 14:00:00,其他,其他,EMP006
CHG00044,SCH0031,2025-08-03 14:00:00,2025-07-25 14:00:00,2025-07-25 15:00:00,学生改时间,学生,EMP004
CHG00045,SCH0031,2025-09-02 15:00:00,2025-07-25 15:00:00,2025-07-25 18:00:00,班级整体调整,教务,EMP005
CHG00046,SCH0031,2025-09-12 18:00:00,2025-07-25 18:00:00,2025-07-25 16:00:00,教师不可用,教师,EMP004
CHG00047,SCH0032,2025-10-30 18:00:00,2025-10-11 18:00:00,2025-10-11 16:00:00,销售承诺冲突,销售,EMP006
CHG00048,SCH0033,2025-12-05 20:00:00,2025-10-20 20:00:00,2025-10-20 23:00:00,教师临时请假,教师,EMP004
CHG00049,SCH0033,2025-12-09 23:00:00,2025-10-20 23:00:00,2025-10-21 02:00:00,学生改时间,学生,EMP006
CHG00050,SCH0034,2026-02-13 14:00:00,2025-12-29 14:00:00,2025-12-29 17:00:00,销售承诺冲突,销售,EMP004
CHG00051,SCH0034,2026-01-19 17:00:00,2025-12-29 17:00:00,2025-12-29 20:00:00,学生改时间,学生,EMP006
CHG00052,SCH0034,2026-02-04 20:00:00,2025-12-29 20:00:00,2025-12-29 23:00:00,教师不可用,教师,EMP006
CHG00053,SCH0034,2026-02-11 23:00:00,2025-12-29 23:00:00,2025-12-29 22:00:00,教师临时请假,教师,EMP005
CHG00054,SCH0035,2025-07-31 15:00:00,2025-06-25 15:00:00,2025-06-25 14:00:00,教师不可用,教师,EMP005
CHG00055,SCH0035,2025-07-31 14:00:00,2025-06-25 14:00:00,2025-06-25 12:00:00,班级整体调整,教务,EMP004
CHG00056,SCH0036,2025-06-29 18:00:00,2025-05-07 18:00:00,2025-05-07 16:00:00,教师不可用,教师,EMP005
CHG00057,SCH0038,2025-07-21 15:00:00,2025-06-25 15:00:00,2025-06-25 14:00:00,学生改时间,学生,EMP004
CHG00058,SCH0038,2025-08-17 14:00:00,2025-06-25 14:00:00,2025-06-25 13:00:00,教师临时请假,教师,EMP004
CHG00059,SCH0038,2025-08-09 13:00:00,2025-06-25 13:00:00,2025-06-25 12:00:00,教师临时请假,教师,EMP006
CHG00060,SCH0038,2025-08-16 12:00:00,2025-06-25 12:00:00,2025-06-25 14:00:00,学生改时间,学生,EMP004
CHG00061,SCH0039,2026-06-27 14:00:00,2026-06-21 14:00:00,2026-06-21 15:00:00,学生改时间,学生,EMP004
CHG00062,SCH0039,2026-07-16 15:00:00,2026-06-21 15:00:00,2026-06-21 18:00:00,教师不可用,教师,EMP004
CHG00063,SCH0039,2026-06-28 18:00:00,2026-06-21 18:00:00,2026-06-21 15:00:00,教师临时请假,教师,EMP004
CHG00064,SCH0040,2026-07-10 19:00:00,2026-06-07 19:00:00,2026-06-07 18:00:00,销售承诺冲突,销售,EMP006
CHG00065,SCH0040,2026-07-12 18:00:00,2026-06-07 18:00:00,2026-06-07 15:00:00,销售承诺冲突,销售,EMP004
CHG00066,SCH0040,2026-06-19 15:00:00,2026-06-07 15:00:00,2026-06-07 14:00:00,销售承诺冲突,销售,EMP004
CHG00067,SCH0040,2026-07-05 14:00:00,2026-06-07 14:00:00,2026-06-07 16:00:00,销售承诺冲突,销售,EMP005
CHG00068,SCH0041,2025-07-10 18:00:00,2025-05-23 18:00:00,2025-05-23 19:00:00,教师不可用,教师,EMP005
CHG00069,SCH0042,2026-06-13 15:00:00,2026-05-10 15:00:00,2026-05-10 13:00:00,教师不可用,教师,EMP004
CHG00070,SCH0042,2026-05-17 13:00:00,2026-05-10 13:00:00,2026-05-10 15:00:00,班级整体调整,教务,EMP006
CHG00071,SCH0043,2025-06-14 08:00:00,2025-05-21 08:00:00,2025-05-21 06:00:00,学生改时间,学生,EMP006
CHG00072,SCH0044,2025-05-31 15:00:00,2025-04-24 15:00:00,2025-04-24 18:00:00,学生改时间,学生,EMP004
CHG00073,SCH0044,2025-05-14 18:00:00,2025-04-24 18:00:00,2025-04-24 16:00:00,教师临时请假,教师,EMP004
CHG00074,SCH0045,2026-08-31 00:00:00,2026-08-19 14:00:00,2026-08-19 12:00:00,学生改时间,学生,EMP004
CHG00075,SCH0046,2025-08-28 18:00:00,2025-07-23 18:00:00,2025-07-23 15:00:00,教师不可用,教师,EMP006
CHG00076,SCH0047,2026-01-09 18:00:00,2025-12-21 18:00:00,2025-12-21 20:00:00,学生改时间,学生,EMP005
CHG00077,SCH0048,2025-07-07 16:00:00,2025-05-20 16:00:00,2025-05-20 13:00:00,教师不可用,教师,EMP004
CHG00078,SCH0049,2025-06-12 08:00:00,2025-04-27 08:00:00,2025-04-27 10:00:00,学生改时间,学生,EMP004
CHG00079,SCH0049,2025-06-02 10:00:00,2025-04-27 10:00:00,2025-04-27 12:00:00,教师不可用,教师,EMP005
CHG00080,SCH0051,2025-06-16 13:00:00,2025-05-08 13:00:00,2025-05-08 14:00:00,学生改时间,学生,EMP005
CHG00081,SCH0051,2025-06-22 14:00:00,2025-05-08 14:00:00,2025-05-08 13:00:00,教师不可用,教师,EMP005
CHG00082,SCH0055,2026-02-02 15:00:00,2025-12-18 15:00:00,2025-12-18 12:00:00,其他,其他,EMP004
CHG00083,SCH0058,2025-07-31 15:00:00,2025-06-29 15:00:00,2025-06-29 16:00:00,班级整体调整,教务,EMP006
CHG00084,SCH0061,2025-10-27 15:00:00,2025-10-12 15:00:00,2025-10-12 18:00:00,教师不可用,教师,EMP004
CHG00085,SCH0063,2025-04-26 18:00:00,2025-04-13 18:00:00,2025-04-13 15:00:00,班级整体调整,教务,EMP006
CHG00086,SCH0065,2026-01-05 18:00:00,2025-11-18 18:00:00,2025-11-18 15:00:00,教师不可用,教师,EMP004
CHG00087,SCH0065,2025-12-05 15:00:00,2025-11-18 15:00:00,2025-11-18 13:00:00,学生改时间,学生,EMP005
CHG00088,SCH0066,2025-07-14 18:00:00,2025-06-29 18:00:00,2025-06-29 15:00:00,班级整体调整,教务,EMP004
CHG00089,SCH0066,2025-07-21 15:00:00,2025-06-29 15:00:00,2025-06-29 12:00:00,其他,其他,EMP006
