issue_id,issue_date,category,related_student,owner,status,resolution,related_schedule_id
ISS00063,2025-07-31 09:00:00,销售承诺冲突,STU0066,EMP006,待处理,与客户沟通,SCH0011
ISS00062,2025-07-31 14:00:00,排课问题,STU0091,EMP004,已完成,,SCH0035
ISS00034,2025-07-31 15:00:00,排课问题,STU0059,EMP006,已完成,与客户沟通,SCH0058
ISS00028,2025-07-31 15:00:00,排课问题,STU0021,EMP005,处理中,重新确认时间,SCH0035
ISS00027,2025-08-04 08:00:00,排课问题,STU0097,EMP005,已完成,调整班级安排,SCH0024
ISS00018,2025-08-07 10:00:00,销售承诺冲突,STU0035,EMP006,已完成,重新确认时间,SCH0031
ISS00064,2025-08-16 11:00:00,销售承诺冲突,STU0035,EMP006,已完成,重新确认时间,SCH0031
ISS00089,2025-08-17 18:00:00,教师时间重叠,STU0057,EMP004,已完成,重新确认时间,SCH0027
ISS00045,2025-08-19 21:00:00,排课问题,STU0052,EMP005,已完成,更换教师,SCH0020
ISS00061,2025-08-21 20:00:00,排课问题,STU0016,EMP005,已完成,重新确认时间,SCH0020
ISS00065,2025-08-25 18:00:00,排课问题,STU0108,EMP006,已完成,调整班级安排,SCH0020
ISS00029,2025-08-28 18:00:00,排课问题,STU0116,EMP006,处理中,与客户沟通,SCH0046
ISS00076,2025-09-03 08:00:00,教师时间重叠,STU0029,EMP005,已完成,重新确认时间,SCH0053
ISS00082,2025-09-05 10:00:00,教师时间重叠,STU0126,EMP005,已完成,调整其中一节课程,SCH0009
ISS00040,2025-09-05 18:00:00,排课问题,STU0057,EMP004,已完成,与客户沟通,SCH0027
ISS00030,2025-09-12 18:00:00,排课问题,STU0035,EMP004,已完成,重新确认时间,SCH0031
ISS00017,2025-09-13 13:00:00,销售承诺冲突,STU0154,EMP006,已完成,重新确认时间,SCH0014
ISS00025,2025-09-14 07:00:00,排课问题,STU0126,EMP005,已完成,调整班级安排,SCH0009
ISS00013,2025-09-16 15:00:00,排课问题,STU0145,EMP004,处理中,调整班级安排,SCH0014
ISS00059,2025-09-17 13:00:00,排课问题,STU0035,EMP005,已完成,与客户沟通,SCH0031
ISS00008,2025-09-25 19:00:00,排课问题,STU0057,EMP004,已完成,,SCH0027
ISS00006,2025-10-15 10:00:00,销售承诺冲突,STU0126,EMP006,已完成,更换教师,SCH0009
ISS00009,2025-10-18 16:00:00,排课问题,STU0147,EMP006,已完成,,SCH0028
ISS00016,2025-10-18 19:00:00,销售承诺冲突,STU0149,EMP005,处理中,,SCH0028
ISS00054,2025-10-20 13:00:00,销售承诺冲突,STU0043,EMP005,已完成,调整班级安排,SCH0025
ISS00021,2025-10-25 22:00:00,排课问题,STU0131,EMP005,已完成,更换教师,SCH0028
ISS00041,2025-10-30 18:00:00,销售承诺冲突,STU0039,EMP006,已完成,与客户沟通,SCH0032
ISS00092,2025-11-02 16:00:00,教师时间重叠,STU0141,EMP006,处理中,更换教师,SCH0062
ISS00094,2025-11-12 15:00:00,教师时间重叠,STU0088,EMP006,已完成,更换教师,SCH0064
ISS00095,2025-11-12 15:00:00,教师时间重叠,STU0112,EMP005,已完成,重新确认时间,SCH0064
ISS00037,2025-11-22 18:00:00,排课问题,STU0025,EMP005,已完成,重新确认时间,SCH0002
ISS00022,2025-11-24 09:00:00,排课问题,STU0139,EMP006,待处理,与客户沟通,SCH0023
ISS00036,2025-12-05 15:00:00,排课问题,STU0005,EMP005,已完成,更换教师,SCH0065
ISS00038,2025-12-05 20:00:00,排课问题,STU0136,EMP004,已完成,调整班级安排,SCH0033
ISS00026,2025-12-09 23:00:00,排课问题,STU0136,EMP006,已完成,与客户沟通,SCH0033
ISS00091,2025-12-21 18:00:00,教师时间重叠,STU0014,EMP005,处理中,更换教师,SCH0047
ISS00069,2026-01-09 18:00:00,排课问题,STU0125,EMP005,已完成,重新确认时间,SCH0047
ISS00020,2026-01-19 17:00:00,排课问题,STU0034,EMP006,已完成,调整班级安排,SCH0034
ISS00024,2026-02-02 15:00:00,销售承诺冲突,STU0100,EMP004,已完成,重新确认时间,SCH0055
ISS00032,2026-02-04 20:00:00,排课问题,STU0034,EMP006,已完成,与客户沟通,SCH0034
ISS00081,2026-02-10 10:00:00,教师时间重叠,STU0084,EMP006,已完成,更换教师,SCH0019
ISS00047,2026-02-11 23:00:00,排课问题,STU0034,EMP005,处理中,重新确认时间,SCH0034
ISS00051,2026-02-13 14:00:00,销售承诺冲突,STU0034,EMP004,已完成,与客户沟通,SCH0034
ISS00096,2026-03-18 15:00:00,教师时间重叠,STU0046,EMP006,已完成,重新确认时间,SCH0021
ISS00015,2026-03-20 10:00:00,排课问题,STU0084,EMP006,已完成,调整班级安排,SCH0019
ISS00079,2026-04-03 18:00:00,教师时间重叠,STU0148,EMP004,已完成,更换教师,SCH0017
ISS00078,2026-04-03 18:00:00,教师时间重叠,STU0148,EMP006,已完成,更换教师,SCH0017
ISS00098,2026-04-11 18:00:00,教师时间重叠,STU0018,EMP006,已完成,重新确认时间,SCH0006
ISS00097,2026-04-11 18:00:00,教师时间重叠,STU0018,EMP006,已完成,调整其中一节课程,SCH0006
ISS00012,2026-04-28 18:00:00,销售承诺冲突,STU0018,EMP004,待处理,更换教师,SCH0006
ISS00067,2026-05-01 09:00:00,排课问题,STU0074,EMP004,待处理,重新确认时间,SCH0010
ISS00144,2026-05-09 17:05:16,销售承诺冲突,STU0107,EMP006,已完成,重新确认时间,SCH0054
ISS00143,2026-05-10 17:10:31,排课问题,STU0057,EMP004,已完成,更换教师,SCH0027
ISS00110,2026-05-12 20:15:44,销售承诺冲突,STU0033,EMP004,已完成,更换教师,SCH0038
ISS00124,2026-05-14 16:11:59,信息传递错误,STU0054,EMP005,已完成,重新确认时间,SCH0042
ISS00111,2026-05-14 22:45:21,信息传递错误,STU0071,EMP004,已完成,重新通知学生,SCH0050
ISS00083,2026-05-16 18:00:00,教师时间重叠,STU0114,EMP005,处理中,更换教师,SCH0022
ISS00007,2026-05-17 13:00:00,排课问题,STU0054,EMP006,已完成,与客户沟通,SCH0042
ISS00035,2026-05-18 20:00:00,排课问题,STU0003,EMP005,已完成,更换教师,SCH0005
ISS00103,2026-05-20 23:21:59,销售承诺冲突,STU0033,EMP006,已完成,重新确认时间,SCH0038
ISS00084,2026-05-23 18:00:00,教师时间重叠,STU0105,EMP004,处理中,重新确认时间,SCH0013
ISS00086,2026-05-23 18:00:00,教师时间重叠,STU0105,EMP006,已完成,重新确认时间,SCH0013
ISS00100,2026-05-25 05:39:28,排课问题,STU0039,EMP006,已完成,重新确认时间,SCH0032
ISS00142,2026-05-28 12:21:26,销售承诺冲突,STU0015,EMP005,已完成,重新确认时间,SCH0063
ISS00105,2026-05-30 00:00:40,信息传递错误,STU0147,EMP005,已完成,重新通知学生,SCH0028
ISS00104,2026-05-31 14:02:44,销售承诺冲突,STU0033,EMP004,已完成,重新确认时间,SCH0038
ISS00044,2026-05-31 18:00:00,销售承诺冲突,STU0079,EMP006,已完成,,SCH0022
ISS00150,2026-06-01 09:52:37,销售承诺冲突,STU0066,EMP006,已完成,重新通知学生,SCH0011
ISS00042,2026-06-01 18:00:00,销售承诺冲突,STU0105,EMP004,已完成,与客户沟通,SCH0013
ISS00147,2026-06-01 23:26:03,销售承诺冲突,STU0054,EMP004,已完成,更换教师,SCH0042
ISS00106,2026-06-03 12:07:18,销售承诺冲突,STU0136,EMP004,已完成,更换教师,SCH0033
ISS00149,2026-06-04 20:57:25,排课问题,STU0046,EMP005,处理中,更换教师,SCH0021
ISS00123,2026-06-07 08:56:13,排课问题,STU0093,EMP005,已完成,重新确认时间,SCH0059
ISS00043,2026-06-07 18:00:00,排课问题,STU0003,EMP005,已完成,重新确认时间,SCH0005
ISS00128,2026-06-09 16:55:30,排课问题,STU0105,EMP006,已完成,重新通知学生,SCH0013
ISS00109,2026-06-09 23:03:27,销售承诺冲突,STU0058,EMP004,已完成,重新确认时间,SCH0052
ISS00001,2026-06-13 15:00:00,排课问题,STU0054,EMP004,已完成,,SCH0042
ISS00113,2026-06-15 16:52:28,排课问题,STU0100,EMP004,已完成,重新确认时间,SCH0055
ISS00101,2026-06-15 20:43:55,排课问题,STU0150,EMP006,处理中,更换教师,SCH0010
ISS00120,2026-06-15 23:00:52,信息传递错误,STU0094,EMP005,已完成,重新通知学生,SCH0001
ISS00010,2026-06-17 16:00:00,排课问题,STU0114,EMP006,已完成,更换教师,SCH0022
ISS00116,2026-06-18 00:30:48,销售承诺冲突,STU0075,EMP006,处理中,更换教师,SCH0046
ISS00137,2026-06-18 12:16:03,信息传递错误,STU0051,EMP004,已完成,更换教师,SCH0030
ISS00052,2026-06-20 15:00:00,排课问题,STU0105,EMP004,处理中,更换教师,SCH0013
ISS00118,2026-06-20 17:51:42,销售承诺冲突,STU0094,EMP004,已完成,重新通知学生,SCH0001
ISS00080,2026-06-21 14:00:00,教师时间重叠,STU0102,EMP006,已完成,调整其中一节课程,SCH0039
ISS00145,2026-06-25 07:39:34,排课问题,STU0124,EMP004,已完成,重新确认时间,SCH0029
ISS00138,2026-06-25 11:07:08,排课问题,STU0095,EMP004,已完成,重新通知学生,SCH0036
ISS00102,2026-06-25 16:10:55,信息传递错误,STU0039,EMP004,已完成,重新确认时间,SCH0032
ISS00122,2026-06-27 04:11:04,信息传递错误,STU0038,EMP004,已完成,重新确认时间,SCH0051
ISS00057,2026-06-27 14:00:00,排课问题,STU0102,EMP004,待处理,重新确认时间,SCH0039
ISS00132,2026-06-28 01:48:03,信息传递错误,STU0051,EMP005,处理中,更换教师,SCH0030
ISS00152,2026-07-03 09:47:13,排课问题,STU0083,EMP004,已完成,重新确认时间,SCH0040
ISS00108,2026-07-03 20:01:31,排课问题,STU0092,EMP004,已完成,重新通知学生,SCH0016
ISS00099,2026-07-05 13:15:16,信息传递错误,STU0039,EMP005,已完成,重新确认时间,SCH0032
ISS00125,2026-07-07 14:33:03,排课问题,STU0057,EMP005,已完成,重新通知学生,SCH0027
ISS00127,2026-07-11 01:25:45,销售承诺冲突,STU0067,EMP006,已完成,重新确认时间,SCH0036
ISS00126,2026-07-11 08:48:01,销售承诺冲突,STU0090,EMP005,已完成,重新通知学生,SCH0064
ISS00002,2026-07-12 18:00:00,销售承诺冲突,STU0083,EMP004,已完成,更换教师,SCH0040
ISS00133,2026-07-13 10:27:03,排课问题,STU0018,EMP006,已完成,重新确认时间,SCH0006
ISS00135,2026-07-16 10:26:28,销售承诺冲突,STU0136,EMP004,已完成,重新确认时间,SCH0033
ISS00060,2026-07-16 15:00:00,排课问题,STU0134,EMP004,已完成,与客户沟通,SCH0039
ISS00134,2026-07-20 04:36:20,信息传递错误,STU0107,EMP005,已完成,重新确认时间,SCH0054
ISS00121,2026-07-24 14:31:22,销售承诺冲突,STU0141,EMP005,处理中,重新通知学生,SCH0062
ISS00139,2026-07-25 05:56:52,信息传递错误,STU0023,EMP004,处理中,重新通知学生,SCH0007
ISS00129,2026-07-27 06:48:43,排课问题,STU0071,EMP005,已完成,重新确认时间,SCH0050
ISS00115,2026-07-28 02:09:16,销售承诺冲突,STU0010,EMP006,已完成,重新确认时间,SCH0036
ISS00107,2026-07-30 13:20:10,排课问题,STU0139,EMP005,已完成,重新通知学生,SCH0023
ISS00146,2026-07-30 18:52:51,信息传递错误,STU0054,EMP006,处理中,重新通知学生,SCH0042
ISS00141,2026-08-01 15:36:45,销售承诺冲突,STU0124,EMP005,已完成,更换教师,SCH0029
ISS00085,2026-08-01 18:00:00,教师时间重叠,STU0153,EMP004,已完成,重新确认时间,SCH0015
ISS00088,2026-08-01 18:00:00,教师时间重叠,STU0153,EMP004,已完成,调整其中一节课程,SCH0015
ISS00087,2026-08-01 18:00:00,教师时间重叠,STU0153,EMP006,处理中,调整其中一节课程,SCH0015
ISS00119,2026-08-03 07:36:16,排课问题,STU0009,EMP004,已完成,重新通知学生,SCH0017
ISS00131,2026-08-07 09:24:27,信息传递错误,STU0140,EMP005,已完成,更换教师,SCH0064
ISS00140,2026-08-08 01:21:19,销售承诺冲突,STU0041,EMP004,处理中,重新确认时间,SCH0053
ISS00148,2026-08-08 19:03:31,销售承诺冲突,STU0057,EMP005,已完成,更换教师,SCH0027
ISS00011,2026-08-11 08:00:00,销售承诺冲突,STU0051,EMP006,已完成,与客户沟通,SCH0030
ISS00112,2026-08-17 09:10:15,信息传递错误,STU0008,EMP004,处理中,重新通知学生,SCH0059
ISS00114,2026-08-18 14:16:00,销售承诺冲突,STU0057,EMP005,已完成,重新确认时间,SCH0027
ISS00153,2026-08-21 05:03:33,销售承诺冲突,STU0085,EMP004,已完成,重新确认时间,SCH0063
ISS00039,2026-08-22 10:00:00,销售承诺冲突,STU0051,EMP005,已完成,更换教师,SCH0030
ISS00072,2026-08-23 15:00:00,教师时间重叠,STU0065,EMP004,已完成,更换教师,SCH0045
ISS00071,2026-08-23 15:00:00,教师时间重叠,STU0065,EMP004,已完成,重新确认时间,SCH0045
ISS00136,2026-08-25 12:41:46,排课问题,STU0006,EMP004,已完成,重新通知学生,SCH0002
ISS00117,2026-08-27 00:36:31,销售承诺冲突,STU0047,EMP005,处理中,重新通知学生,SCH0009
ISS00151,2026-08-28 23:15:38,销售承诺冲突,STU0004,EMP005,已完成,更换教师,SCH0052
ISS00130,2026-08-29 01:46:38,信息传递错误,STU0124,EMP004,已完成,更换教师,SCH0029
ISS00048,2026-08-31 00:00:00,排课问题,STU0065,EMP004,已完成,与客户沟通,SCH0045
ISS00005,2026-08-31 00:00:00,排课问题,STU0153,EMP005,已完成,更换教师,SCH0015
ISS00053,2026-08-31 00:00:00,排课问题,STU0051,EMP006,已完成,,SCH0030
ISS00023,2026-08-31 00:00:00,排课问题,STU0153,EMP004,处理中,更换教师,SCH0015
