enrollment_id,student_id,enrollment_date,course_mode,private_course_id,class_id,purchased_hours,sales_id,academic_id,status
ENR0123,STU0143,2025-12-26,班课,,CLS008,40,EMP003,EMP005,在读
ENR0124,STU0088,2025-11-11,班课,,CLS022,60,EMP002,EMP005,在读
ENR0125,STU0107,2026-06-19,班课,,CLS012,60,EMP002,EMP004,在读
ENR0126,STU0014,2025-12-20,班课,,CLS005,40,EMP003,EMP005,在读
ENR0127,STU0152,2026-01-13,班课,,CLS006,60,EMP003,EMP004,在读
ENR0128,STU0130,2025-10-25,班课,,CLS001,40,EMP001,EMP005,在读
ENR0129,STU0078,2025-09-18,班课,,CLS009,60,EMP003,EMP005,在读
ENR0130,STU0050,2026-07-04,班课,,CLS018,40,EMP001,EMP006,在读
ENR0131,STU0056,2025-08-24,班课,,CLS002,60,EMP003,EMP006,在读
ENR0132,STU0038,2026-05-03,班课,,CLS009,30,EMP001,EMP006,在读
ENR0133,STU0140,2026-05-08,班课,,CLS022,30,EMP003,EMP004,在读
ENR0134,STU0022,2025-12-18,班课,,CLS010,60,EMP001,EMP004,在读
ENR0135,STU0081,2026-02-16,班课,,CLS015,30,EMP001,EMP005,在读
ENR0136,STU0037,2025-03-31,班课,,CLS017,60,EMP002,EMP006,在读
ENR0137,STU0122,2026-04-08,班课,,CLS005,30,EMP002,EMP004,在读
ENR0138,STU0036,2026-06-16,班课,,CLS014,40,EMP002,EMP006,在读
ENR0139,STU0005,2026-04-14,班课,,CLS023,60,EMP001,EMP006,在读
ENR0140,STU0060,2025-09-05,班课,,CLS002,60,EMP002,EMP006,在读
ENR0141,STU0042,2025-07-02,班课,,CLS021,60,EMP001,EMP006,在读
ENR0142,STU0013,2025-11-22,班课,,CLS001,30,EMP003,EMP006,在读
ENR0143,STU0103,2026-02-19,班课,,CLS014,40,EMP001,EMP005,在读
ENR0144,STU0100,2025-12-18,班课,,CLS013,30,EMP001,EMP006,在读
ENR0145,STU0015,2025-11-29,班课,,CLS021,40,EMP003,EMP004,在读
ENR0146,STU0080,2025-06-26,班课,,CLS024,40,EMP001,EMP006,在读
ENR0147,STU0151,2026-03-28,班课,,CLS007,60,EMP001,EMP006,在读
ENR0148,STU0144,2025-07-04,班课,,CLS006,30,EMP002,EMP004,在读
ENR0149,STU0041,2025-12-29,班课,,CLS011,60,EMP002,EMP004,在读
ENR0150,STU0106,2026-06-24,班课,,CLS009,30,EMP003,EMP006,在读
ENR0151,STU0127,2025-06-27,班课,,CLS016,40,EMP002,EMP005,在读
ENR0152,STU0020,2026-03-30,班课,,CLS022,30,EMP002,EMP005,在读
ENR0153,STU0146,2025-09-22,班课,,CLS004,40,EMP003,EMP006,在读
ENR0154,STU0125,2026-02-23,班课,,CLS005,60,EMP001,EMP005,在读
ENR0155,STU0055,2025-06-20,班课,,CLS018,30,EMP001,EMP005,在读
