student_status_id,student_id,status,effective_from,effective_to,reason,recorded_by
STS00100,STU0073,在读,2026-01-15,2026-07-21,,EMP005
STS00101,STU0073,已完成,2026-07-22,,完成课程,EMP005
STS00102,STU0074,在读,2025-09-11,2026-04-12,,EMP005
STS00103,STU0074,已停课,2026-04-13,,课程体验,EMP005
STS00104,STU0075,在读,2026-06-06,,,EMP006
STS00105,STU0076,在读,2025-07-07,2026-05-09,,EMP006
STS00106,STU0076,已完成,2026-05-10,,排课困难,EMP006
STS00107,STU0077,在读,2025-10-11,,,EMP006
STS00108,STU0078,在读,2025-09-18,2026-01-31,,EMP005
STS00109,STU0078,已停课,2026-02-01,,排课困难,EMP005
STS00110,STU0079,在读,2025-12-08,2026-03-20,,EMP004
STS00111,STU0079,已完成,2026-03-21,,排课困难,EMP004
STS00112,STU0080,在读,2025-06-26,2026-03-17,,EMP006
STS00113,STU0080,已停课,2026-03-18,,排课困难,EMP006
STS00114,STU0081,在读,2026-02-16,,,EMP005
STS00115,STU0082,在读,2026-06-20,,,EMP005
STS00116,STU0083,在读,2025-12-20,,,EMP004
STS00117,STU0084,在读,2026-03-29,,,EMP004
STS00118,STU0085,在读,2025-12-03,2026-04-28,,EMP004
STS00119,STU0085,暂停,2026-04-29,,完成课程,EMP004
STS00120,STU0086,在读,2025-08-18,2026-02-25,,EMP006
STS00121,STU0086,已停课,2026-02-26,,时间不合适,EMP006
STS00122,STU0087,在读,2026-04-27,2026-08-01,,EMP006
STS00123,STU0087,已停课,2026-08-02,,,EMP006
STS00124,STU0088,在读,2025-11-11,,,EMP005
STS00125,STU0089,在读,2026-06-24,2026-08-30,,EMP004
STS00126,STU0089,已完成,2026-08-31,,,EMP004
STS00127,STU0090,在读,2025-11-19,2026-06-30,,EMP006
STS00128,STU0090,已停课,2026-07-01,,完成课程,EMP006
STS00129,STU0091,在读,2025-07-06,,,EMP005
STS00130,STU0092,在读,2026-03-16,,,EMP004
STS00131,STU0093,在读,2025-08-24,,,EMP005
STS00132,STU0094,在读,2025-07-20,2026-02-04,,EMP005
STS00133,STU0094,已完成,2026-02-05,,完成课程,EMP005
STS00134,STU0095,在读,2025-05-09,,,EMP004
STS00135,STU0096,在读,2025-04-06,,,EMP005
STS00136,STU0097,在读,2026-01-27,2026-08-12,,EMP004
STS00137,STU0097,已停课,2026-08-13,,暂时停学,EMP004
STS00138,STU0098,在读,2025-05-07,,,EMP005
STS00139,STU0099,在读,2025-07-21,2026-05-14,,EMP004
STS00140,STU0099,暂停,2026-05-15,,暂时停学,EMP004
STS00141,STU0100,在读,2025-12-18,,,EMP006
STS00142,STU0101,在读,2025-09-22,2026-07-22,,EMP005
STS00143,STU0101,已停课,2026-07-23,,排课困难,EMP005
STS00144,STU0102,在读,2025-10-12,,,EMP005
STS00145,STU0103,在读,2026-02-19,2026-06-16,,EMP005
STS00146,STU0103,已停课,2026-06-17,,完成课程,EMP005
STS00147,STU0104,在读,2026-06-09,,,EMP004
STS00148,STU0105,在读,2026-04-16,,,EMP006
STS00149,STU0106,在读,2026-06-24,,,EMP006
STS00150,STU0107,在读,2026-06-19,,,EMP004
STS00151,STU0108,在读,2026-04-21,,,EMP004
STS00152,STU0109,在读,2025-04-20,,,EMP004
STS00153,STU0110,在读,2025-10-03,2026-08-26,,EMP005
STS00154,STU0110,已停课,2026-08-27,,完成课程,EMP005
STS00155,STU0111,在读,2025-04-12,,,EMP005
STS00156,STU0112,在读,2025-11-22,2026-06-28,,EMP004
STS00157,STU0112,已停课,2026-06-29,,,EMP004
STS00158,STU0113,在读,2026-05-18,,,EMP006
STS00159,STU0114,在读,2026-01-09,2026-07-23,,EMP005
STS00160,STU0114,已停课,2026-07-24,,,EMP005
STS00161,STU0115,在读,2026-06-26,,,EMP004
STS00162,STU0116,在读,2025-07-23,,,EMP004
STS00163,STU0117,在读,2026-04-27,,,EMP005
STS00164,STU0118,在读,2025-05-24,,,EMP006
STS00165,STU0119,在读,2026-08-27,,,EMP004
STS00166,STU0120,在读,2026-03-31,,,EMP004
STS00167,STU0121,在读,2026-06-30,2026-08-22,,EMP006
STS00168,STU0121,已停课,2026-08-23,,,EMP006
STS00169,STU0122,在读,2026-04-08,,,EMP004
STS00170,STU0123,在读,2026-05-17,,,EMP005
STS00171,STU0124,在读,2026-08-30,,,EMP005
STS00172,STU0125,在读,2026-02-23,,,EMP005
STS00173,STU0126,在读,2026-03-06,,,EMP005
STS00174,STU0127,在读,2025-06-27,2026-01-15,,EMP005
STS00175,STU0127,已停课,2026-01-16,,完成课程,EMP005
STS00176,STU0128,在读,2025-05-20,2026-03-22,,EMP004
STS00177,STU0128,已停课,2026-03-23,,暂时停学,EMP004
STS00178,STU0129,在读,2025-07-18,2026-05-22,,EMP006
STS00179,STU0129,已停课,2026-05-23,,时间不合适,EMP006
STS00180,STU0130,在读,2025-10-25,,,EMP005
STS00181,STU0131,在读,2026-01-17,,,EMP004
STS00182,STU0132,在读,2025-10-11,,,EMP005
STS00183,STU0133,在读,2026-06-27,,,EMP005
STS00184,STU0134,在读,2026-03-25,,,EMP005
STS00185,STU0135,在读,2025-05-07,2025-12-11,,EMP006
STS00186,STU0135,已完成,2025-12-12,,暂时停学,EMP006
STS00187,STU0136,在读,2025-08-30,,,EMP005
STS00188,STU0137,在读,2025-07-29,,,EMP005
STS00189,STU0138,在读,2026-08-02,,,EMP005
STS00190,STU0139,在读,2025-10-17,2026-04-17,,EMP006
STS00191,STU0139,暂停,2026-04-18,,时间不合适,EMP006
STS00192,STU0140,在读,2026-05-08,,,EMP004
STS00193,STU0141,在读,2025-11-02,,,EMP005
STS00194,STU0142,在读,2026-04-03,2026-06-07,,EMP005
STS00195,STU0142,已完成,2026-06-08,,暂时停学,EMP005
STS00196,STU0143,在读,2025-12-26,,,EMP005
STS00197,STU0144,在读,2025-07-04,,,EMP004
STS00198,STU0145,在读,2026-06-03,2026-08-26,,EMP004
STS00199,STU0145,已完成,2026-08-27,,,EMP004
STS00200,STU0146,在读,2025-09-22,,,EMP006
STS00201,STU0147,在读,2026-04-10,2026-06-06,,EMP005
STS00202,STU0147,已停课,2026-06-07,,排课困难,EMP005
STS00203,STU0148,在读,2026-08-31,,,EMP004
STS00204,STU0149,在读,2025-10-04,2026-05-29,,EMP006
STS00205,STU0149,已完成,2026-05-30,,时间不合适,EMP006
STS00206,STU0150,在读,2026-05-17,,,EMP005
STS00207,STU0151,在读,2026-03-28,,,EMP006
STS00208,STU0152,在读,2026-01-13,,,EMP004
STS00209,STU0153,在读,2026-04-10,2026-07-22,,EMP006
STS00210,STU0153,已完成,2026-07-23,,暂时停学,EMP006
STS00211,STU0154,在读,2025-07-18,,,EMP006
STS00212,STU0155,在读,2026-05-03,,,EMP004
