inquiry_id,customer_id,inquiry_date,inquiry_type,post_id,account_id,customer_account,inquiry_time,response_time,response_duration,sales_id,wechat_status,keyword,region,remark
INQ00055,CUS0038,2025-10-30,主动咨询,POST0042,ACC003,user_0038,2025-10-30 20:40:00,2025-10-31 01:13:00,273,EMP002,未添加,小孩课程,英国,客户希望尽快安排
INQ00056,CUS0039,2026-06-30,回访,POST0109,ACC001,user_0039,2026-06-30 20:50:00,2026-06-30 21:17:00,27,EMP003,待添加,口语,英国,
INQ00057,CUS0040,2026-01-06,主动咨询,POST0116,ACC001,user_0040,2026-01-06 10:20:00,2026-01-06 10:44:00,24,EMP003,已添加,DELE,美国,客户希望尽快安排
INQ00058,CUS0041,2025-08-08,主动咨询,POST0043,ACC002,user_0041,2025-08-08 14:20:00,2025-08-08 14:36:00,16,EMP001,未添加,小孩课程,中国,
INQ00059,CUS0042,2026-04-12,主动咨询,POST0056,ACC001,user_0042,2026-04-12 14:40:00,2026-04-12 14:57:00,17,EMP003,已添加,小孩课程,西班牙,
INQ00060,CUS0043,2025-09-17,主动咨询,POST0025,ACC004,user_0043,2025-09-17 18:40:00,2025-09-17 18:50:00,10,EMP002,已添加,口语,中国,
INQ00061,CUS0043,2025-09-24,主动咨询,POST0032,ACC002,user_0043,2025-09-24 15:00:00,2025-09-24 21:05:00,365,EMP002,已添加,零基础,加拿大,
INQ00062,CUS0043,2025-11-02,主动评论,POST0012,ACC004,user_0043,2025-11-02 19:00:00,2025-11-03 02:10:00,430,EMP002,已添加,小孩课程,新加坡,客户希望尽快安排
INQ00063,CUS0044,2026-05-22,主动咨询,POST0049,ACC002,user_0044,2026-05-22 09:30:00,2026-05-22 09:45:00,15,EMP002,已添加,小孩课程,加拿大,
INQ00064,CUS0044,2026-06-23,主动咨询,POST0097,ACC004,user_0044,2026-06-23 14:20:00,2026-06-23 14:42:00,22,EMP002,未添加,零基础,中国,客户希望尽快安排
INQ00065,CUS0044,2026-08-04,被动私信,POST0025,ACC004,user_0044,2026-08-04 17:40:00,2026-08-04 17:57:00,17,EMP002,已添加,DELE,西班牙,
INQ00066,CUS0045,2026-06-01,主动评论,POST0089,ACC004,user_0045,2026-06-01 18:30:00,2026-06-01 18:33:00,3,EMP003,已添加,B2,德国,
INQ00067,CUS0046,2025-09-13,主动咨询,POST0015,ACC002,user_0046,2025-09-13 16:30:00,2025-09-13 16:39:00,9,EMP001,未添加,小孩课程,中国,
INQ00068,CUS0046,2025-10-21,主动评论,POST0078,ACC001,user_0046,2025-10-21 20:20:00,2025-10-21 20:27:00,7,EMP001,已添加,零基础,英国,
INQ00069,CUS0047,2025-10-03,主动咨询,POST0011,ACC004,user_0047,2025-10-03 18:40:00,2025-10-03 18:49:00,9,EMP001,已添加,DELE,英国,客户希望尽快安排
INQ00070,CUS0047,2025-10-27,回访,POST0073,ACC003,user_0047,2025-10-27 16:00:00,2025-10-27 16:07:00,7,EMP001,已添加,DELE,美国,
INQ00071,CUS0048,2025-07-16,主动评论,POST0113,ACC003,user_0048,2025-07-16 15:00:00,2025-07-16 15:02:00,2,EMP003,已添加,DELE,新加坡,
INQ00072,CUS0048,2025-07-22,主动评论,POST0015,ACC002,user_0048,2025-07-22 18:50:00,2025-07-22 19:12:00,22,EMP003,已添加,口语,澳大利亚,客户希望尽快安排
INQ00073,CUS0049,2025-11-02,主动咨询,POST0093,ACC002,user_0049,2025-11-02 17:00:00,2025-11-02 18:07:00,67,EMP001,已添加,小孩课程,美国,客户希望尽快安排
INQ00074,CUS0050,2025-03-20,被动私信,POST0013,ACC003,user_0050,2025-03-20 18:10:00,2025-03-20 23:01:00,291,EMP003,已添加,小孩课程,加拿大,
INQ00075,CUS0051,2026-05-05,主动咨询,POST0018,ACC004,user_0051,2026-05-05 20:20:00,2026-05-05 21:03:00,43,EMP001,未添加,口语,中国,
INQ00076,CUS0052,2026-06-24,主动咨询,POST0038,ACC003,user_0052,2026-06-24 15:10:00,2026-06-24 15:33:00,23,EMP002,已添加,零基础,加拿大,
INQ00077,CUS0052,2026-07-31,主动咨询,POST0098,ACC003,user_0052,2026-07-31 18:20:00,2026-07-31 18:30:00,10,EMP002,已添加,留学,中国,
INQ00078,CUS0052,2026-08-29,主动咨询,POST0064,ACC004,user_0052,2026-08-29 14:20:00,2026-08-29 14:41:00,21,EMP002,待添加,零基础,加拿大,
INQ00079,CUS0053,2026-07-20,主动咨询,POST0045,ACC003,user_0053,2026-07-20 20:50:00,2026-07-20 21:26:00,36,EMP003,已添加,留学,西班牙,
INQ00080,CUS0054,2025-04-04,主动咨询,POST0057,ACC003,user_0054,2025-04-04 20:10:00,2025-04-05 01:30:00,320,EMP003,未添加,B2,英国,客户希望尽快安排
INQ00081,CUS0054,2025-04-22,回访,,ACC001,user_0054,2025-04-22 10:30:00,2025-04-22 10:50:00,20,EMP003,已添加,B2,新加坡,
INQ00082,CUS0055,2025-09-09,主动咨询,POST0006,ACC004,user_0055,2025-09-09 17:00:00,2025-09-09 17:17:00,17,EMP001,已添加,零基础,英国,
INQ00083,CUS0056,2026-04-28,主动咨询,POST0105,ACC004,user_0056,2026-04-28 20:50:00,2026-04-28 21:07:00,17,EMP002,未添加,口语,中国,客户希望尽快安排
INQ00084,CUS0056,2026-05-25,主动评论,POST0120,ACC001,user_0056,2026-05-25 17:50:00,2026-05-25 17:58:00,8,EMP002,未添加,口语,加拿大,
INQ00085,CUS0057,2026-02-24,主动评论,POST0117,ACC001,user_0057,2026-02-24 18:50:00,2026-02-24 19:12:00,22,EMP001,已添加,B2,加拿大,客户希望尽快安排
INQ00086,CUS0057,2026-03-06,主动咨询,POST0010,ACC004,user_0057,2026-03-06 11:50:00,2026-03-06 12:10:00,20,EMP001,已添加,零基础,美国,
INQ00087,CUS0057,2026-03-27,回访,POST0063,ACC001,user_0057,2026-03-27 09:20:00,2026-03-27 09:56:00,36,EMP001,已添加,DELE,加拿大,
INQ00088,CUS0058,2025-04-27,主动咨询,POST0108,ACC003,user_0058,2025-04-27 09:20:00,2025-04-27 10:03:00,43,EMP003,未添加,留学,美国,
INQ00089,CUS0059,2025-12-03,主动咨询,POST0100,ACC002,user_0059,2025-12-03 11:30:00,2025-12-03 11:34:00,4,EMP003,已添加,小孩课程,澳大利亚,
INQ00090,CUS0059,2026-01-06,主动评论,POST0060,ACC001,user_0059,2026-01-06 14:10:00,2026-01-06 14:13:00,3,EMP003,已添加,DELE,美国,
INQ00091,CUS0060,2026-05-07,主动咨询,POST0109,ACC001,user_0060,2026-05-07 15:10:00,2026-05-07 15:48:00,38,EMP003,待添加,口语,英国,
INQ00092,CUS0061,2026-07-07,主动咨询,POST0005,ACC003,user_0061,2026-07-07 14:10:00,2026-07-07 14:44:00,34,EMP001,未添加,小孩课程,西班牙,
INQ00093,CUS0062,2025-06-24,回访,POST0070,ACC003,user_0062,2025-06-24 19:20:00,2025-06-24 19:31:00,11,EMP003,已添加,零基础,美国,
INQ00094,CUS0062,2025-07-31,主动咨询,POST0058,ACC001,user_0062,2025-07-31 14:50:00,2025-07-31 14:55:00,5,EMP003,已添加,口语,西班牙,
INQ00095,CUS0063,2026-04-30,回访,,ACC002,user_0063,2026-04-30 09:50:00,2026-04-30 10:00:00,10,EMP002,已添加,B2,西班牙,客户希望尽快安排
INQ00096,CUS0063,2026-05-25,主动评论,POST0101,ACC003,user_0063,2026-05-25 16:30:00,2026-05-25 17:20:00,50,EMP002,已添加,零基础,美国,客户希望尽快安排
INQ00097,CUS0064,2026-01-03,主动咨询,POST0086,ACC004,user_0064,2026-01-03 17:00:00,2026-01-03 17:37:00,37,EMP003,已添加,留学,西班牙,
INQ00098,CUS0065,2025-07-10,主动咨询,POST0059,ACC002,user_0065,2025-07-10 10:00:00,2025-07-10 10:19:00,19,EMP002,已添加,口语,德国,客户希望尽快安排
INQ00099,CUS0065,2025-07-20,被动私信,POST0073,ACC003,user_0065,2025-07-20 15:50:00,2025-07-20 16:12:00,22,EMP002,待添加,零基础,美国,客户希望尽快安排
INQ00100,CUS0066,2025-04-30,被动私信,POST0064,ACC004,user_0066,2025-04-30 19:40:00,2025-04-30 19:49:00,9,EMP001,已添加,小孩课程,英国,
INQ00101,CUS0066,2025-05-25,被动私信,POST0067,ACC001,user_0066,2025-05-25 09:10:00,2025-05-25 09:34:00,24,EMP001,未添加,DELE,澳大利亚,
INQ00102,CUS0067,2025-05-24,回访,POST0060,ACC001,user_0067,2025-05-24 16:00:00,2025-05-24 16:44:00,44,EMP001,已添加,口语,英国,
INQ00103,CUS0068,2026-05-11,主动咨询,POST0109,ACC001,user_0068,2026-05-11 20:50:00,2026-05-11 20:58:00,8,EMP002,已添加,零基础,中国,
INQ00104,CUS0068,2026-05-29,主动咨询,POST0120,ACC001,user_0068,2026-05-29 14:50:00,2026-05-29 15:12:00,22,EMP002,未添加,小孩课程,美国,
INQ00105,CUS0069,2025-05-05,主动咨询,POST0059,ACC002,user_0069,2025-05-05 20:00:00,2025-05-05 20:14:00,14,EMP002,未添加,零基础,新加坡,
INQ00106,CUS0069,2025-06-15,主动咨询,POST0080,ACC003,user_0069,2025-06-15 18:00:00,2025-06-15 18:18:00,18,EMP002,已添加,小孩课程,美国,
INQ00107,CUS0069,2025-07-11,回访,POST0103,ACC002,user_0069,2025-07-11 09:50:00,2025-07-11 10:09:00,19,EMP002,未添加,小孩课程,新加坡,客户希望尽快安排
INQ00108,CUS0070,2025-04-19,主动评论,POST0042,ACC003,user_0070,2025-04-19 18:20:00,2025-04-19 18:41:00,21,EMP003,已添加,B2,西班牙,
INQ00109,CUS0070,2025-06-01,主动咨询,POST0048,ACC003,user_0070,2025-06-01 10:00:00,2025-06-01 10:11:00,11,EMP003,已添加,DELE,西班牙,客户希望尽快安排
INQ00110,CUS0071,2025-12-02,回访,POST0067,ACC001,user_0071,2025-12-02 17:20:00,2025-12-02 17:55:00,35,EMP003,未添加,零基础,西班牙,
INQ00111,CUS0071,2026-01-12,主动咨询,POST0086,ACC004,user_0071,2026-01-12 18:00:00,2026-01-12 18:04:00,4,EMP003,已添加,小孩课程,新加坡,
INQ00112,CUS0071,2026-02-14,主动咨询,POST0022,ACC001,user_0071,2026-02-14 17:10:00,2026-02-14 20:51:00,221,EMP003,未添加,口语,德国,客户希望尽快安排
INQ00113,CUS0072,2025-03-23,被动私信,,ACC004,user_0072,2025-03-23 10:10:00,2025-03-23 11:06:00,56,EMP003,已添加,小孩课程,德国,
INQ00114,CUS0072,2025-03-27,主动咨询,POST0087,ACC001,user_0072,2025-03-27 14:40:00,2025-03-27 14:49:00,9,EMP003,未添加,DELE,中国,
INQ00115,CUS0073,2025-11-07,被动私信,POST0014,ACC001,user_0073,2025-11-07 10:40:00,2025-11-07 10:42:00,2,EMP002,已添加,零基础,新加坡,客户希望尽快安排
INQ00116,CUS0074,2026-06-12,主动咨询,POST0008,ACC004,user_0074,2026-06-12 20:10:00,2026-06-12 20:26:00,16,EMP003,未添加,留学,新加坡,
INQ00117,CUS0074,2026-06-30,主动咨询,,ACC001,user_0074,2026-06-30 14:20:00,2026-06-30 14:44:00,24,EMP003,已添加,口语,西班牙,
INQ00118,CUS0075,2026-02-03,主动咨询,POST0028,ACC003,user_0075,2026-02-03 17:20:00,2026-02-03 17:30:00,10,EMP001,待添加,小孩课程,西班牙,
INQ00119,CUS0076,2026-07-17,主动咨询,POST0011,ACC004,user_0076,2026-07-17 09:50:00,2026-07-17 10:02:00,12,EMP001,待添加,留学,新加坡,
INQ00120,CUS0076,2026-08-27,被动私信,POST0100,ACC002,user_0076,2026-08-27 15:50:00,2026-08-27 15:52:00,2,EMP001,已添加,零基础,中国,
INQ00121,CUS0077,2025-08-04,被动私信,POST0082,ACC003,user_0077,2025-08-04 11:30:00,2025-08-04 12:04:00,34,EMP002,待添加,小孩课程,德国,客户希望尽快安排
INQ00122,CUS0078,2025-12-06,主动咨询,POST0018,ACC004,user_0078,2025-12-06 10:20:00,2025-12-06 10:47:00,27,EMP003,已添加,口语,加拿大,
INQ00123,CUS0078,2025-12-10,主动咨询,POST0086,ACC004,user_0078,2025-12-10 15:30:00,2025-12-10 15:50:00,20,EMP003,待添加,零基础,英国,
INQ00124,CUS0079,2025-06-09,主动咨询,POST0014,ACC001,user_0079,2025-06-09 16:50:00,2025-06-09 17:14:00,24,EMP001,待添加,零基础,美国,
INQ00125,CUS0080,2025-06-12,主动咨询,POST0103,ACC002,user_0080,2025-06-12 20:20:00,2025-06-12 20:31:00,11,EMP003,已添加,零基础,德国,
INQ00126,CUS0080,2025-06-30,主动咨询,POST0037,ACC002,user_0080,2025-06-30 11:00:00,2025-06-30 17:45:00,405,EMP003,已添加,小孩课程,加拿大,
INQ00127,CUS0081,2026-08-17,主动咨询,,ACC004,user_0081,2026-08-17 14:10:00,2026-08-17 14:41:00,31,EMP002,未添加,B2,美国,
INQ00128,CUS0081,2026-08-31,被动私信,POST0060,ACC001,user_0081,2026-08-31 15:20:00,2026-08-31 15:40:00,20,EMP002,未添加,零基础,西班牙,
INQ00129,CUS0082,2026-03-10,回访,POST0076,ACC002,user_0082,2026-03-10 11:30:00,2026-03-10 12:01:00,31,EMP001,已添加,DELE,新加坡,客户希望尽快安排
INQ00130,CUS0082,2026-04-08,回访,,ACC004,user_0082,2026-04-08 14:40:00,2026-04-08 14:59:00,19,EMP001,未添加,零基础,中国,客户希望尽快安排
INQ00131,CUS0082,2026-04-10,被动私信,POST0079,ACC001,user_0082,2026-04-10 16:20:00,2026-04-10 16:24:00,4,EMP001,已添加,口语,西班牙,
INQ00132,CUS0083,2026-03-17,回访,POST0030,ACC003,user_0083,2026-03-17 18:20:00,2026-03-17 18:44:00,24,EMP002,已添加,零基础,西班牙,
INQ00133,CUS0083,2026-04-22,主动咨询,POST0021,ACC003,user_0083,2026-04-22 10:50:00,2026-04-22 11:05:00,15,EMP002,已添加,B2,新加坡,
INQ00134,CUS0084,2025-09-20,回访,POST0084,ACC002,user_0084,2025-09-20 16:10:00,2025-09-20 16:34:00,24,EMP001,已添加,DELE,中国,
INQ00135,CUS0084,2025-10-15,主动咨询,POST0076,ACC002,user_0084,2025-10-15 14:10:00,2025-10-15 14:28:00,18,EMP001,已添加,口语,德国,
INQ00136,CUS0085,2026-04-14,主动咨询,,ACC003,user_0085,2026-04-14 19:50:00,2026-04-14 19:59:00,9,EMP001,已添加,DELE,德国,
INQ00137,CUS0086,2026-08-05,主动评论,POST0081,ACC004,user_0086,2026-08-05 18:50:00,2026-08-05 18:55:00,5,EMP002,已添加,零基础,新加坡,
INQ00138,CUS0087,2026-08-10,主动评论,POST0030,ACC003,user_0087,2026-08-10 10:20:00,2026-08-10 10:28:00,8,EMP003,已添加,口语,加拿大,
INQ00139,CUS0087,2026-08-31,被动私信,POST0066,ACC001,user_0087,2026-08-31 20:50:00,2026-08-31 21:11:00,21,EMP003,未添加,零基础,加拿大,
INQ00140,CUS0088,2025-06-22,主动评论,POST0093,ACC002,user_0088,2025-06-22 17:20:00,2025-06-22 17:43:00,23,EMP001,已添加,零基础,中国,
INQ00141,CUS0089,2025-10-19,主动咨询,POST0008,ACC004,user_0089,2025-10-19 11:20:00,2025-10-19 11:33:00,13,EMP003,已添加,小孩课程,澳大利亚,
INQ00142,CUS0090,2025-06-19,主动评论,POST0042,ACC003,user_0090,2025-06-19 17:20:00,2025-06-19 17:31:00,11,EMP001,未添加,留学,英国,
INQ00143,CUS0091,2025-12-23,被动私信,POST0061,ACC003,user_0091,2025-12-23 15:40:00,2025-12-23 18:58:00,198,EMP001,已添加,零基础,中国,
INQ00144,CUS0092,2026-02-28,主动评论,POST0017,ACC001,user_0092,2026-02-28 16:30:00,2026-02-28 16:59:00,29,EMP001,已添加,零基础,澳大利亚,客户希望尽快安排
INQ00145,CUS0092,2026-04-02,主动咨询,POST0029,ACC001,user_0092,2026-04-02 09:20:00,2026-04-02 09:28:00,8,EMP001,已添加,小孩课程,中国,客户希望尽快安排
INQ00146,CUS0092,2026-05-10,主动咨询,,ACC001,user_0092,2026-05-10 17:30:00,2026-05-10 17:48:00,18,EMP001,已添加,零基础,澳大利亚,
INQ00147,CUS0093,2025-08-05,主动咨询,POST0104,ACC004,user_0093,2025-08-05 11:10:00,2025-08-05 11:22:00,12,EMP003,已添加,零基础,加拿大,
INQ00148,CUS0094,2025-07-10,主动咨询,,ACC004,user_0094,2025-07-10 19:30:00,2025-07-10 19:51:00,21,EMP001,已添加,留学,澳大利亚,
INQ00149,CUS0095,2026-02-02,被动私信,POST0053,ACC004,user_0095,2026-02-02 18:40:00,2026-02-02 19:29:00,49,EMP002,已添加,口语,英国,
INQ00150,CUS0096,2026-05-04,主动咨询,POST0087,ACC001,user_0096,2026-05-04 11:00:00,2026-05-04 11:02:00,2,EMP001,未添加,零基础,西班牙,
INQ00151,CUS0097,2026-06-15,被动私信,POST0011,ACC004,user_0097,2026-06-15 18:00:00,2026-06-15 18:06:00,6,EMP003,未添加,小孩课程,英国,
INQ00152,CUS0097,2026-07-28,主动咨询,POST0109,ACC001,user_0097,2026-07-28 10:30:00,2026-07-28 10:36:00,6,EMP003,已添加,DELE,西班牙,
INQ00153,CUS0098,2025-09-30,主动咨询,POST0037,ACC002,user_0098,2025-09-30 20:00:00,2025-09-30 20:09:00,9,EMP003,已添加,零基础,西班牙,客户希望尽快安排
INQ00154,CUS0099,2025-08-04,主动咨询,POST0031,ACC002,user_0099,2025-08-04 15:30:00,2025-08-04 19:50:00,260,EMP001,已添加,零基础,美国,客户希望尽快安排
INQ00155,CUS0100,2026-07-08,主动评论,POST0069,ACC002,user_0100,2026-07-08 16:10:00,2026-07-08 16:28:00,18,EMP003,已添加,小孩课程,中国,客户希望尽快安排
INQ00156,CUS0101,2026-06-30,被动私信,POST0086,ACC004,user_0101,2026-06-30 15:10:00,2026-06-30 15:25:00,15,EMP003,已添加,小孩课程,新加坡,客户希望尽快安排
INQ00157,CUS0102,2025-11-23,主动咨询,POST0064,ACC004,user_0102,2025-11-23 19:30:00,2025-11-23 19:45:00,15,EMP001,已添加,口语,中国,
