availability_id,teacher_id,weekday,start_time,end_time,timezone,effective_from,effective_to,status
AVL00087,T007,Tuesday,16:00,19:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00088,T007,Friday,09:00,12:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00089,T007,Wednesday,14:00,16:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00090,T008,Thursday,16:00,22:00,Europe/London,2025-06-29,2026-05-31,历史有效
AVL00091,T008,Tuesday,10:00,16:00,Europe/London,2025-06-29,2026-05-31,历史有效
AVL00092,T008,Wednesday,15:00,21:00,Europe/London,2025-06-29,2026-05-31,历史有效
AVL00093,T008,Friday,18:00,22:00,Europe/London,2025-06-29,2026-05-31,历史有效
AVL00094,T008,Wednesday,10:00,13:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00095,T008,Friday,10:00,14:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00096,T008,Saturday,09:00,12:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00097,T008,Tuesday,09:00,12:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00098,T008,Monday,18:00,20:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00099,T008,Sunday,11:00,14:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00100,T008,Tuesday,18:00,20:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00101,T008,Sunday,08:00,09:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00102,T008,Friday,08:00,11:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00103,T009,Monday,17:00,22:00,America/Managua,2025-04-24,2026-05-31,历史有效
AVL00104,T009,Tuesday,11:00,17:00,America/Managua,2025-04-24,2026-05-31,历史有效
AVL00105,T009,Saturday,18:00,22:00,America/Managua,2025-04-24,2026-05-31,历史有效
AVL00106,T009,Thursday,15:00,20:00,America/Managua,2025-04-24,2026-05-31,历史有效
AVL00107,T009,Friday,10:00,13:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00108,T009,Monday,18:00,21:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00109,T009,Thursday,14:00,18:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00110,T009,Sunday,14:00,17:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00111,T009,Saturday,10:00,12:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00112,T009,Wednesday,17:00,19:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00113,T009,Friday,08:00,10:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00114,T009,Monday,17:00,19:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00115,T009,Tuesday,18:00,20:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00116,T009,Monday,15:00,18:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00117,T009,Thursday,17:00,19:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00118,T010,Saturday,18:00,22:00,America/Santiago,2025-05-14,2026-05-31,历史有效
AVL00119,T010,Friday,09:00,15:00,America/Santiago,2025-05-14,2026-05-31,历史有效
AVL00120,T010,Thursday,08:00,12:00,America/Santiago,2025-05-14,2026-05-31,历史有效
AVL00121,T010,Sunday,18:00,22:00,America/Santiago,2025-05-14,2026-05-31,历史有效
AVL00122,T010,Monday,10:00,14:00,America/Santiago,2025-05-14,2026-05-31,历史有效
AVL00123,T010,Saturday,16:00,20:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00124,T010,Friday,16:00,20:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00125,T010,Wednesday,15:00,18:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00126,T010,Sunday,18:00,21:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00127,T010,Wednesday,16:00,18:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00128,T010,Saturday,09:00,11:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00129,T010,Thursday,08:00,10:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00130,T010,Sunday,17:00,19:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00131,T010,Saturday,11:00,14:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00132,T011,Sunday,18:00,22:00,Europe/Madrid,2025-04-28,2026-05-31,历史有效
AVL00133,T011,Wednesday,10:00,15:00,Europe/Madrid,2025-04-28,2026-05-31,历史有效
AVL00134,T011,Thursday,09:00,14:00,Europe/Madrid,2025-04-28,2026-05-31,历史有效
AVL00135,T011,Monday,18:00,22:00,Europe/Madrid,2025-04-28,2026-05-31,历史有效
AVL00136,T011,Monday,09:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00137,T011,Friday,18:00,22:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00138,T011,Saturday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00139,T011,Thursday,18:00,22:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00140,T011,Wednesday,09:00,11:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00141,T011,Monday,09:00,12:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00142,T011,Thursday,09:00,11:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00143,T011,Wednesday,16:00,17:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00144,T011,Friday,10:00,13:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00145,T012,Thursday,14:00,20:00,America/Managua,2025-03-31,2026-02-22,历史有效
AVL00146,T012,Sunday,15:00,21:00,America/Managua,2025-03-31,2026-02-22,历史有效
AVL00147,T012,Monday,08:00,13:00,America/Managua,2025-03-31,2026-02-22,历史有效
AVL00148,T012,Wednesday,08:00,14:00,America/Managua,2025-03-31,2026-02-22,历史有效
AVL00149,T013,Friday,18:00,22:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00150,T013,Thursday,09:00,15:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00151,T013,Tuesday,09:00,15:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00152,T013,Sunday,18:00,22:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00153,T013,Monday,18:00,22:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00154,T013,Wednesday,16:00,22:00,Europe/Madrid,2025-03-03,2026-05-31,历史有效
AVL00155,T013,Saturday,14:00,17:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00156,T013,Tuesday,11:00,14:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00157,T013,Sunday,17:00,20:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00158,T013,Monday,14:00,17:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00159,T013,Friday,09:00,13:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00160,T013,Tuesday,18:00,20:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00161,T013,Sunday,18:00,20:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00162,T013,Thursday,11:00,14:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00163,T013,Thursday,08:00,10:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00164,T013,Sunday,08:00,10:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00165,T014,Tuesday,09:00,13:00,Europe/Madrid,2025-03-24,2026-05-31,历史有效
AVL00166,T014,Thursday,09:00,13:00,Europe/Madrid,2025-03-24,2026-05-31,历史有效
AVL00167,T014,Monday,11:00,15:00,Europe/Madrid,2025-03-24,2026-05-31,历史有效
AVL00168,T014,Friday,16:00,22:00,Europe/Madrid,2025-03-24,2026-05-31,历史有效
AVL00169,T014,Sunday,16:00,22:00,Europe/Madrid,2025-03-24,2026-05-31,历史有效
AVL00170,T014,Thursday,09:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00171,T014,Saturday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00172,T014,Sunday,16:00,19:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00173,T014,Monday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00174,T014,Friday,16:00,18:00,Europe/Madrid,2026-07-01,2026-07-23,历史有效
AVL00175,T014,Tuesday,10:00,13:00,Europe/Madrid,2026-07-01,2026-07-23,历史有效
AVL00176,T014,Saturday,17:00,19:00,Europe/Madrid,2026-07-01,2026-07-23,历史有效
AVL00177,T014,Thursday,10:00,13:00,Europe/Madrid,2026-07-01,2026-07-23,历史有效
AVL00178,T015,Sunday,14:00,18:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00179,T015,Friday,14:00,19:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00180,T015,Thursday,15:00,20:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00181,T015,Wednesday,15:00,19:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00182,T015,Saturday,11:00,16:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00183,T015,Monday,10:00,15:00,Europe/Madrid,2025-06-17,2026-05-31,历史有效
AVL00184,T015,Tuesday,16:00,19:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00185,T015,Saturday,08:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00186,T015,Thursday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00187,T015,Thursday,17:00,20:00,Europe/Madrid,2026-07-01,2026-07-11,历史有效
AVL00188,T015,Monday,09:00,12:00,Europe/Madrid,2026-07-01,2026-07-11,历史有效
AVL00189,T016,Saturday,17:00,21:00,Europe/Madrid,2025-06-21,2026-05-31,历史有效
AVL00190,T016,Tuesday,14:00,20:00,Europe/Madrid,2025-06-21,2026-05-31,历史有效
AVL00191,T016,Friday,17:00,22:00,Europe/Madrid,2025-06-21,2026-05-31,历史有效
AVL00192,T016,Thursday,16:00,22:00,Europe/Madrid,2025-06-21,2026-05-31,历史有效
AVL00193,T016,Sunday,10:00,14:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00194,T016,Wednesday,08:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00195,T016,Thursday,10:00,13:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00196,T016,Tuesday,17:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00197,T016,Sunday,10:00,12:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00198,T016,Wednesday,09:00,11:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00199,T016,Monday,11:00,13:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00200,T016,Friday,17:00,19:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00201,T016,Friday,11:00,12:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00202,T016,Sunday,15:00,18:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00203,T017,Wednesday,10:00,16:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00204,T017,Friday,09:00,13:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00205,T017,Thursday,11:00,16:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00206,T017,Monday,11:00,17:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00207,T017,Saturday,18:00,22:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00208,T017,Tuesday,18:00,22:00,America/Santiago,2025-06-26,2026-05-31,历史有效
AVL00209,T017,Wednesday,10:00,14:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00210,T017,Tuesday,16:00,19:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00211,T017,Sunday,14:00,17:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00212,T017,Friday,14:00,17:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00213,T017,Monday,09:00,13:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00214,T017,Tuesday,15:00,17:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00215,T017,Monday,16:00,18:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00216,T017,Friday,11:00,13:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00217,T017,Wednesday,11:00,14:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00218,T017,Monday,18:00,20:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00219,T017,Sunday,15:00,17:00,America/Santiago,2026-08-01,2026-08-31,有效
AVL00220,T018,Friday,15:00,21:00,Europe/Madrid,2025-04-15,2026-05-31,历史有效
AVL00221,T018,Thursday,17:00,21:00,Europe/Madrid,2025-04-15,2026-05-31,历史有效
AVL00222,T018,Monday,17:00,22:00,Europe/Madrid,2025-04-15,2026-05-31,历史有效
AVL00223,T018,Wednesday,17:00,21:00,Europe/Madrid,2025-04-15,2026-05-31,历史有效
AVL00224,T018,Monday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00225,T018,Sunday,18:00,22:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00226,T018,Friday,11:00,14:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00227,T018,Tuesday,17:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00228,T018,Wednesday,18:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00229,T018,Monday,08:00,10:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00230,T018,Saturday,14:00,16:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00231,T018,Tuesday,11:00,14:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00232,T018,Monday,14:00,15:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00233,T018,Sunday,10:00,11:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00234,T018,Saturday,15:00,18:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00235,T019,Friday,08:00,12:00,Europe/Madrid,2025-04-17,2026-05-31,历史有效
AVL00236,T019,Monday,18:00,22:00,Europe/Madrid,2025-04-17,2026-05-31,历史有效
AVL00237,T019,Wednesday,18:00,22:00,Europe/Madrid,2025-04-17,2026-05-31,历史有效
AVL00238,T019,Sunday,18:00,22:00,Europe/Madrid,2025-04-17,2026-05-31,历史有效
AVL00239,T019,Saturday,10:00,14:00,Europe/Madrid,2025-04-17,2026-05-31,历史有效
AVL00240,T019,Sunday,16:00,20:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00241,T019,Saturday,16:00,19:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00242,T019,Thursday,18:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00243,T019,Friday,17:00,20:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00244,T019,Wednesday,08:00,11:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00245,T019,Sunday,16:00,19:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00246,T019,Friday,18:00,21:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00247,T019,Thursday,17:00,20:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00248,T019,Monday,16:00,18:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00249,T019,Wednesday,09:00,12:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00250,T020,Friday,16:00,21:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00251,T020,Thursday,14:00,18:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00252,T020,Sunday,08:00,12:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00253,T020,Monday,11:00,17:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00254,T020,Wednesday,17:00,22:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00255,T020,Saturday,14:00,20:00,Europe/London,2025-05-20,2026-05-31,历史有效
AVL00256,T020,Wednesday,08:00,11:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00257,T020,Friday,16:00,19:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00258,T020,Tuesday,15:00,19:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00259,T020,Monday,14:00,18:00,Europe/London,2026-06-01,2026-06-30,历史有效
AVL00260,T020,Thursday,10:00,13:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00261,T020,Tuesday,11:00,13:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00262,T020,Monday,14:00,17:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00263,T020,Thursday,11:00,14:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00264,T020,Monday,15:00,18:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00265,T021,Sunday,11:00,17:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00266,T021,Monday,16:00,21:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00267,T021,Saturday,17:00,22:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00268,T021,Thursday,09:00,13:00,Europe/London,2026-07-01,2026-07-31,历史有效
AVL00269,T021,Friday,15:00,18:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00270,T021,Wednesday,10:00,13:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00271,T021,Monday,09:00,14:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00272,T021,Saturday,14:00,19:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00273,T021,Tuesday,14:00,18:00,Europe/London,2026-08-01,2026-08-31,有效
AVL00274,T022,Monday,14:00,20:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00275,T022,Friday,15:00,19:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00276,T022,Wednesday,14:00,20:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00277,T022,Thursday,11:00,16:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00278,T022,Tuesday,10:00,16:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00279,T022,Monday,14:00,17:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00280,T022,Thursday,14:00,18:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00281,T022,Wednesday,11:00,14:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00282,T022,Tuesday,15:00,20:00,America/Managua,2026-08-01,2026-08-31,有效
AVL00283,T023,Wednesday,11:00,16:00,America/Santiago,2026-07-19,2026-07-31,历史有效
AVL00284,T023,Friday,17:00,21:00,America/Santiago,2026-07-19,2026-07-31,历史有效
AVL00285,T023,Monday,17:00,21:00,America/Santiago,2026-07-19,2026-07-31,历史有效
AVL00286,T023,Sunday,15:00,19:00,America/Santiago,2026-07-19,2026-07-31,历史有效
AVL00287,T023,Wednesday,17:00,22:00,America/Santiago,2026-08-01,2026-08-31,有效
