编号,日期,客户编号,客户账号,咨询类型,广告帖子编号,引流账号 / 私信账号,负责人,销售名片,微信添加状态,咨询时间,回复时间,响应时间,关键词,网络地址地区,点击次数
30,2025年10月27日,CUS0021,user_0021,主动咨询,POST0014,ACC001,Sofia_Sales,已发送,已添加,2025/10/27 09:00,2025-10-27 09:05,5,小孩课程,德国,1
368,2025-03-09,CUS0235,user_0235,被动私信,POST0025,ACC004,Mia_Sales,已发送,已添加,2025-03-09 10:00,2025-03-09 10:18,18,DELE,英国,2
10,2026/06/09,CUS0009,@user_0009,主动咨询,POST0100,ACC002,Leo_Sales,未发送,已添加,2026-06-09 09:50,2026/06/09 19:48,598,留学,新加坡,3
182,2025/08/12,CUS0115,user_0115,主动咨询,POST0012,ACC004,Leo_Sales,已发送,已添加,2025-08-12 09:00,2025-08-12 09:10,10,小孩课程,西班牙,1
93,2025/06/24,CUS0062, user_0062 ,回访,,ACC003,Mia_Sales,发送,已添加,2025/06/24 19:20,2025/06/24 19:31,11,零基础,美国,2
641,2026-08-23,CUS0412,user_0412,主动评论,POST0058,ACC001,Leo_Sales,发送,已添加,8月23日 14:00,2026/08/23 14:19,19,B2,英国,1
664,2025/11/24,CUS0430,user_0430,主动咨询,POST0106,ACC002,Sofia_Sales,发送,已添加,2025-11-24 20:10,2025/11/24 20:44,34,B2,澳大利亚,2
203,2026-02-08,CUS0126,user_0126,主动咨询,POST0078,ACC001,Leo_Sales,未发送,未添加,2月8日 16:30,2026/02/08 16:36,6,小孩课程,加拿大,4
75,2026-05-05,,user_0051,主动咨询,,ACC004,Sofia_Sales,发送,未添加,2026-05-05 20:20,2026/05/05 21:03,43,口语,中国,4
154,2025-08-04,,user_0099,主动咨询,POST0031,ACC002,Sofia_Sales,未发送,已添加,8月4日 15:30,2025-08-04 19:50,260,零基础,美国,4
52,2026-08-31,CUS0035,user_0035,主动咨询,POST0078,ACC001,Sofia_Sales,已发送,未添加,2026-08-31 14:30,2026-08-31 14:49,64,口语,德国,3
532,2026/06/13,CUS0344,user_0344,主动咨询,POST0066,ACC001,Mia_Sales,已发送,未添加,2026-06-13 18:50,2026-06-13 19:04,14,零基础,美国,3
756,2025/06/09,CUS0483,user_0483,主动评论,POST0035,ACC002,Mia_Sales,发送,未添加,6月9日 10:20,2025-06-09 10:33,13,小孩课程,西班牙,2
245,2026/05/28,CUS0153,user_0153,回访,POST0019,ACC001,Sofia_Sales,已发送,待添加,5月28日 17:00,5月29日 2:25,565,小孩课程,美国,1
585,2026-05-02,CUS0379,user_0379,主动咨询,POST0062,ACC002,Mia_Sales,已发送,未添加,2026/05/02 09:00,2026/05/02 09:25,25,小孩课程,加拿大,3
415,2025-09-11,CUS0266,user_0266,主动咨询,POST0031,ACC002,Sofia_Sales,发送,未添加,2025-09-11 20:20,2025-09-11 20:23,3,零基础,西班牙,4
137,2026/08/05,CUS0086,@user_0086,主动评论,POST0081,ACC004,Leo_Sales,发送,已添加,2026-08-05 18:50,2026-08-05 18:55,5,零基础,新加坡,1
514,2025-04-07,CUS0332,user_0332,主动咨询,,ACC002,Sofia_Sales,未发送,未添加,4月7日 19:50,4月7日 19:55,5,DELE,西班牙,2
41,2025年4月21日,CUS0029,user_0029,主动评论,POST0005,ACC003,Mia_Sales,已发送,已添加,4月21日 20:00,2025-04-21 20:30,30,小孩课程,加拿大,3
638,2025年3月12日,,user_0411,主动咨询,POST0099,ACC004,Leo_Sales,未发送,待添加,2025/03/12 18:50,2025-03-12 19:00,10,零基础,新加坡,3
40,2026-06-22,CUS0028,user_0028,主动咨询,POST0106,ACC002,Sofia_Sales,已发送,未添加,6月22日 10:40,6月22日 10:42,2,B2,中国,3
772,2026-05-22,CUS0494,user_0494,回访,,ACC001,Leo_Sales ,未发送,已添加,2026/05/22 18:00,2026-05-22 18:12,67,DELE,中国,2
727,2025年5月18日,CUS0464,user_0464,主动咨询,POST0080,ACC003,Leo_Sales,已发送,已添加,2025-05-18 20:10,2025-05-18 20:57,47,小孩课程,中国,1
451,2026-06-16,CUS0290,user_0290,主动咨询,,ACC002,Leo_Sales,发送,已添加,2026-06-16 16:40,2026-06-16 16:42,2,零基础,澳大利亚,1
568,2026/05/12,CUS0368,@user_0368,回访,,ACC002,Sofia_Sales,未发送,已添加,2026-05-12 09:30,2026-05-12 09:34,4,口语,英国,3
745,2026/02/28,CUS0475,user_0475,被动私信,POST0015,ACC002,Sofia_Sales,已发送,待添加,2月28日 16:50,2026/02/28 17:15,25,DELE,英国,4
289,2025-10-17,,user_0183,回访,,ACC004,Leo_Sales,未发送,未添加,10月17日 20:40,2025/10/17 20:52,12,小孩课程,西班牙,2
551,2025-12-31,,user_0358,回访,POST0036,ACC002,Leo_Sales,已发送,未添加,2025/12/31 19:20,2025-12-31 19:22,2,小孩课程,德国,4
808,2025-05-10,CUS0520,user_0520,主动咨询,,ACC002,SOFIA_SALES,已发送,已添加,2025-05-10 09:10,2025-05-10 09:22,12,口语,德国,3
563,2025-06-12,CUS0365,user_0365,被动私信,POST0028,ACC003,Mia_Sales,发送,已添加,2025/06/12 14:50,,199,零基础,中国,2
69,2025/10/03,CUS0047,user_0047,主动咨询,POST0011,ACC004,Sofia_Sales,已发送,已添加,10月3日 18:40,2025-10-03 18:49,9,DELE,英国,2
721,2025/06/06,CUS0460,user_0460,主动咨询,POST0012,ACC004,Leo_Sales,发送,已添加,2025-06-06 18:50,2025/06/06 18:57,7,小孩课程,美国,1
216,2026-08-01,CUS0132,user_0132,主动咨询,POST0105,ACC004,Sofia_Sales,已发送,已添加,2026-08-01 17:30,,23,小孩课程,澳大利亚,1
449,2026年4月17日,CUS0289,user_0289,主动咨询,POST0103,ACC002,Leo_Sales,发送,已添加,4月17日 16:10,2026-04-17 17:32,82,口语,西班牙,1
632,2025-08-19,CUS0407,user_0407,被动私信,POST0018,ACC004,Mia_Sales,未发送,未添加,2025-08-19 17:30,8月19日 17:50,74,口语,中国,3
739,07/16/2025,CUS0472, user_0472 ,主动咨询,POST0049,ACC002,Sofia_Sales,发送,未添加,2025-07-16 20:00,7月16日 20:15,15,DELE,加拿大,1
412,2025年11月16日,CUS0264,user_0264,主动咨询,POST0091,ACC002,Mia_Sales,未发送,已添加,2025-11-16 17:00,2025/11/16 17:04,4,B2,中国,1
302,06/08/2025,CUS0192,user_0192,被动私信,POST0071,ACC003,Leo_Sales,发送,已添加,2025-06-08 09:50,2025-06-08 10:16,26,口语,中国,3
712,2026年3月24日,CUS0456,user_0456,主动咨询,POST0043,ACC002,Mia_Sales ,未发送,已添加,2026-03-24 10:50,3月24日 11:23,33,零基础,加拿大,4
276,2025-03-01,CUS0175,user_0175,主动咨询,POST0111,ACC003,Sofia_Sales,已发送,待添加,2025-03-01 15:10,2025-03-01 15:27,17,零基础,西班牙,3
384,04/14/2025,CUS0246,user_0246,主动评论,,ACC003,Mia_Sales,未发送,已添加,2025/04/14 17:50,4月14日 18:00,10,零基础,英国,4
13,05/25/2025,CUS0011,user_0011,回访,POST0105,ACC004,Leo_Sales,未发送,待添加,2025-05-25 15:10,2025/05/25 15:33,23,零基础,新加坡,3
710,2025年9月30日,CUS0454,user_0454,主动咨询,,ACC003,Sofia_Sales,发送,未添加,2025-09-30 15:20,2025/09/30 15:54,34,DELE,新加坡,1
421,2025年7月15日,CUS0270,user_0270,主动咨询,POST0076,ACC002,Leo_Sales,已发送,已添加,7月15日 17:00,2025-07-16 00:12,446,B2,澳大利亚,1
550,2026/02/07,CUS0357,user_0357,被动私信,POST0120,ACC001,MIA_SALES,已发送,已添加,2026-02-07 20:40,,252,零基础,美国,1
206,2026年2月13日,CUS0127,user_0127,主动咨询,POST0097,ACC004,Leo_Sales,未发送,已添加,2026/02/13 18:10,2026-02-13 18:21,11,DELE,中国,3
31,2025/05/18,CUS0022,@user_0022,回访,POST0112,ACC004,Leo_Sales,已发送,已添加,2025-05-18 14:40,2025-05-18 14:44,4,口语,西班牙,1
477,2026年3月14日,CUS0308,user_0308,主动咨询,,ACC003,Leo_Sales,已发送,未添加,2026-03-14 16:10,3月14日 16:27,17,零基础,澳大利亚,4
702,04/26/2026,, user_0449 ,主动咨询,,ACC002,Leo_Sales,未发送,未添加,4月26日 14:10,2026/04/26 14:23,13,零基础,加拿大,3
686,04/19/2026,CUS0441,@user_0441,回访,POST0049,ACC002,Mia_Sales,未发送,已添加,2026-04-19 16:00,2026-04-19 16:14,14,小孩课程,加拿大,4
416,2025/10/08,CUS0267,user_0267,主动评论,,ACC002,Sofia_Sales,已发送,未添加,2025-10-08 19:00,2025-10-08 19:14,14,DELE,美国,2
636,01/13/2026,CUS0410,user_0410,被动私信,POST0118,ACC004,Mia_Sales,未发送,待添加,2026/01/13 17:20,2026-01-13 17:39,19,B2,英国,3
688,2026-06-21,,user_0443,主动咨询,POST0036,ACC002,Sofia_Sales,未发送,已添加,2026-06-21 19:30,2026-06-21 19:48,18,口语,美国,2
89,2025年12月3日,,user_0059,主动咨询,POST0100,ACC002,Mia_Sales,已发送,已添加,2025-12-03 11:30,2025/12/03 11:34,28,小孩课程,澳大利亚,4
272,2026/05/02,CUS0173,user_0173,主动评论,POST0111,ACC003,Mia_Sales,已发送,已添加,2026-05-02 09:50,2026/05/02 10:11,21,小孩课程,德国,4
100,2025-04-30,CUS0066,user_0066,被动私信,POST0064,ACC004,Sofia_Sales,已发送,已添加,2025-04-30 19:40,2025/04/30 19:49,9,小孩课程,英国,2
474,2026-06-18,,user_0307,回访,POST0043,ACC002,Sofia_Sales,发送,待添加,2026-06-18 17:20,2026-06-18 17:47,27,留学,德国,3
111,2026年1月12日,CUS0071,user_0071,主动咨询,POST0086,ACC004,Mia_Sales,未发送,已添加,1月12日 18:00,1月12日 18:04,4,小孩课程,新加坡,4
546,2025/03/12,CUS0355,user_0355,主动咨询,,ACC002,Sofia_Sales ,已发送,待添加,2025-03-12 17:00,2025-03-12 17:04,4,口语,新加坡,1
131,2026-04-10,CUS0082,user_0082,被动私信,POST0079,ACC001,Sofia_Sales,已发送,已添加,4月10日 16:20,2026-04-10 16:24,4,口语,西班牙,4
207,2026-02-22,CUS0127,user_0127,被动私信,POST0029,ACC001,Leo_Sales,已发送,已添加,2月22日 16:50,2月22日 16:56,6,口语,美国,2
362,2025-05-24,CUS0231,user_0231,主动咨询,POST0103,ACC002,Sofia_Sales,未发送,已添加,2025/05/24 11:20,2025-05-24 11:31,11,B2,德国,1
455,2025-06-28,CUS0293,@user_0293,被动私信,POST0100,ACC002,Sofia_Sales,发送,已添加,6月28日 20:20,2025-06-28 20:32,12,B2,新加坡,1
724,2026-07-11,,user_0462,主动咨询,POST0101,ACC003,Leo_Sales,已发送,已添加,7月11日 11:10,2026/07/11 11:21,11,零基础,美国,3
85,2026-02-24,CUS0057,user_0057,主动评论,POST0117,ACC001,Sofia_Sales,发送,已添加,2026-02-24 18:50,2026-02-24 19:12,22,B2,加拿大,4
382,2026-01-24,,user_0244,主动咨询,POST0112,ACC004,Leo_Sales,未发送,已添加,2026-01-24 10:40,2026/01/24 11:00,20,DELE,新加坡,3
135,2025/10/15,CUS0084,user_0084,主动咨询,POST0076,ACC002,Sofia_Sales,已发送,已添加,2025/10/15 14:10,10月15日 14:28,18,口语,德国,3
378,2025-12-23,CUS0241,user_0241,被动私信,POST0106,ACC002,Leo_Sales,已发送,未添加,2025-12-23 09:10,2025/12/23 09:25,15,口语,中国,1
408,2026/04/02,CUS0261, user_0261 ,主动咨询,POST0092,ACC002,Sofia_Sales,未发送,未添加,4月2日 18:20,4月2日 18:54,34,口语,英国,2
48,03/05/2025,CUS0034,user_0034,主动咨询,POST0105,ACC004,Leo_Sales,发送,已添加,2025/03/05 10:30,,27,小孩课程,加拿大,2
92,2026年7月7日,,user_0061,主动咨询,POST0005,ACC003,Sofia_Sales,已发送,未添加,2026-07-07 14:10,2026/07/07 14:44,55,小孩课程,西班牙,4
573,2025/10/21,CUS0371,user_0371,回访,POST0032,ACC002,Sofia_Sales,已发送,已添加,2025-10-21 17:20,2025/10/21 17:46,26,B2,美国,4
36,2025年3月14日,CUS0025,user_0025,主动咨询,POST0116,ACC001,Sofia_Sales,发送,已添加,2025-03-14 18:50,3月14日 19:09,19,DELE,加拿大,3
388,09/23/2025,,user_0249,主动评论,POST0096,ACC002,Sofia_Sales,已发送,已添加,9月23日 17:50,9月23日 17:57,7,小孩课程,西班牙,2
541,2026-07-26,CUS0351, user_0351 ,主动评论,POST0107,ACC003,Leo_Sales,未发送,已添加,7月26日 19:20,7月26日 19:40,20,零基础,中国,4
761,2025/08/15,CUS0487,user_0487,主动咨询,,ACC004,Leo_Sales,已发送,已添加,8月15日 11:40,2025-08-15 11:44,4,口语,西班牙,4
244,2026-05-21,CUS0153,user_0153,主动咨询,POST0117,ACC001,Sofia_Sales,已发送,已添加,2026-05-21 09:50,2026-05-21 10:05,15,留学,德国,4
600,2026-07-23,,USER_0386,被动私信,POST0116,ACC001,Mia_Sales,已发送,待添加,2026-07-23 20:50,7月23日 20:54,4,口语,新加坡,4
519,2025-05-27,CUS0335,user_0335,主动咨询,POST0062,ACC002,Leo_Sales,发送,已添加,2025-05-27 17:30,5月27日 17:42,12,小孩课程,德国,3
670,2025-10-30,CUS0432,user_0432,被动私信,,ACC004,Mia_Sales ,未发送,未添加,10月30日 16:00,10月30日 16:07,7,小孩课程,澳大利亚,3
622,2026年4月10日,CUS0400,user_0400,主动咨询,POST0018,ACC004,Sofia_Sales ,发送,已添加,2026-04-10 17:20,2026-04-10 17:45,25,零基础,加拿大,2
152,07/28/2026,CUS0097,@user_0097,主动咨询,POST0109,ACC001,Mia_Sales,已发送,已添加,2026-07-28 10:30,2026-07-28 10:36,6,DELE,西班牙,3
515,2026年8月7日,CUS0333,user_0333,主动咨询,POST0057,ACC003,Leo_Sales,已发送,已添加,2026-08-07 09:50,2026/08/07 10:03,38,DELE,新加坡,1
397,2025-10-01,CUS0255,user_0255,主动咨询,POST0011,ACC004,Sofia_Sales,已发送,未添加,2025-10-01 16:00,2025-10-01 16:32,32,小孩课程,澳大利亚,2
566,2025-05-28,CUS0367,user_0367,主动咨询,POST0072,ACC003,Leo_Sales,已发送,已添加,2025/05/28 11:30,5月28日 11:45,69,留学,新加坡,2
599,2026-06-15,CUS0385,user_0385,被动私信,,ACC003,Mia_Sales,已发送,已添加,2026/06/15 16:20,2026/06/15 16:38,18,零基础,德国,4
404,2025/08/20,CUS0258,user_0258,主动咨询,POST0038,ACC003,Sofia_Sales,发送,已添加,2025/08/20 19:50,2025-08-20 19:52,2,B2,澳大利亚,2
651,09/25/2025,CUS0420,user_0420,主动咨询,POST0038,ACC003,Leo_Sales ,发送,已添加,2025-09-25 14:40,2025-09-25 14:54,14,小孩课程,新加坡,1
400,2026/08/31,CUS0256,USER_0256,主动评论,POST0090,ACC004,Sofia_Sales,发送,已添加,2026/08/31 09:50,2026/08/31 10:16,26,口语,德国,4
648,07/09/2026,,user_0417,主动评论,,ACC002,Mia_Sales,已发送,待添加,2026/07/09 17:20,2026-07-09 17:31,11,零基础,中国,4
122,2025/12/06,CUS0078,user_0078,主动咨询,POST0018,ACC004,MIA_SALES,发送,已添加,2025/12/06 10:20,2025-12-06 10:47,27,口语,加拿大,3
379,2025年5月21日,CUS0242,user_0242,被动私信,POST0003,ACC001,Sofia_Sales,已发送,已添加,2025-05-21 11:00,2025/05/21 11:15,15,零基础,英国,3
105,2025/05/05,CUS0069,user_0069,主动咨询,POST0059,ACC002,Leo_Sales,未发送,未添加,5月5日 20:00,2025/05/05 20:14,14,零基础,新加坡,3
253,2025-07-10,CUS0160,user_0160,回访,POST0070,ACC003,Mia_Sales,已发送,未添加,2025/07/10 10:40,2025-07-10 10:57,17,口语,西班牙,2
663,2025-12-05,, user_0429 ,主动咨询,POST0109,ACC001,Mia_Sales,未发送,待添加,2025/12/05 11:30,2025/12/05 16:51,321,留学,德国,1
292,2026-03-24,CUS0186,user_0186,主动咨询,,ACC003,Leo_Sales,未发送,已添加,3月24日 11:00,2026-03-24 11:04,4,小孩课程,美国,2
553,2026/02/22,CUS0358,user_0358,主动咨询,POST0041,ACC004,Leo_Sales,已发送,已添加,2026/02/22 20:30,2026/02/22 20:44,14,口语,英国,3
32,2025/06/24,CUS0022,user_0022,回访,POST0025,ACC004,Leo_Sales,未发送,已添加,2025-06-24 15:50,2025-06-24 16:02,12,小孩课程,澳大利亚,3
16,2026-07-13,CUS0012,user_0012,主动评论,POST0086,ACC004,Leo_Sales,已发送,已添加,2026-07-13 20:50,2026/07/13 20:57,7,留学,澳大利亚,4
558,2025-04-09,,user_0362,被动私信,POST0022,ACC001,Leo_Sales,未发送,已添加,2025-04-09 16:10,2025/04/09 16:47,37,小孩课程,新加坡,3
19,2026-06-23,CUS0015,user_0015,被动私信,POST0078,ACC001,Mia_Sales,已发送,已添加,2026/06/23 17:40,6月23日 17:52,12,零基础,加拿大,4
443,2025-07-25,CUS0286,user_0286,回访,POST0069,ACC002,Mia_Sales,已发送,已添加,2025/07/25 11:20,7月25日 11:23,21,DELE,德国,4
659,02/15/2026,,user_0425,被动私信,POST0109,ACC001,Leo_Sales,未发送,已添加,2026/02/15 17:40,2月15日 17:58,18,B2,新加坡,3
332,2026-01-02,,user_0212,主动咨询,POST0078,ACC001,Mia_Sales,未发送,已添加,2026-01-02 18:20,2026-01-02 18:32,12,零基础,英国,2
18,2025/10/18,CUS0014,user_0014,主动评论,POST0042,ACC003,Leo_Sales,未发送,未添加,2025-10-18 15:00,2025/10/18 15:21,21,零基础,英国,2
572,2025年6月24日,CUS0370,user_0370,主动评论,POST0039,ACC004,Sofia_Sales,已发送,已添加,2025/06/24 17:10,2025-06-24 17:36,26,零基础,德国,2
252,2025/12/03,CUS0159,user_0159,被动私信,POST0070,ACC003,Mia_Sales,发送,已添加,2025/12/03 11:50,12月3日 12:35,45,口语,西班牙,3
22,2025年11月18日,CUS0017,user_0017,被动私信,POST0019,ACC001,Sofia_Sales,未发送,待添加,2025-11-18 11:50,2025-11-18 12:03,13,留学,西班牙,2
193,10/17/2025,,user_0121,主动咨询,POST0077,ACC002,Mia_Sales,已发送,已添加,2025-10-17 16:30,2025/10/17 16:46,63,B2,中国,2
695,2026-02-05,CUS0446,user_0446,主动咨询,,ACC002,Mia_Sales,已发送,已添加,2026-02-05 20:00,2月5日 20:11,11,口语,美国,3
789,2026-05-28,CUS0507, user_0507 ,回访,POST0048,ACC003,Sofia_Sales,已发送,已添加,5月28日 10:50,,6,零基础,西班牙,4
225,01/16/2026,CUS0140,USER_0140,被动私信,POST0088,ACC001,Leo_Sales,未发送,已添加,2026-01-16 10:10,2026/01/16 10:33,23,小孩课程,中国,2
219,2026-08-10,,user_0135,回访,POST0005,ACC003,Sofia_Sale,已发送,已添加,8月10日 17:00,2026/08/10 18:26,86,零基础,西班牙,1
740,2025-10-03,CUS0473,user_0473,主动咨询,POST0058,ACC001,Sofia_Sales,已发送,已添加,2025-10-03 15:30,2025-10-03 15:42,12,留学,美国,3
