日期,星期,工作类别,具体事项,学生,班级,教师,记录人,负责人,优先级,状态,截止时间,完成时间,是否异常,异常等级,处理结果,后续跟进,备注
2026/05/07,Thursday,销售承诺冲突,教师不可用,Ivy_039,,,Nora_Academic,Nora_Academic,中,处理中,2026-05-08,,是,3,重新通知学生,继续跟进,
2026年5月7日,Thursday,communication,教师不可用,Mason_03,,,Cielo_Academic,Cielo_Academic,中,完成,2026/05/11,2026-05-08,是,高,更换教师,,
2026-05-12,Tuesday,sales issue,课程时间需重新确认,Ivy_089,,,Cielo_Academic,Cielo_Academic,中,完成,05/14/2026,2026-05-16,是,2,重新通知学生,,
2026-05-20,Wednesday,sales issue,临时改课,Alfred_172,,,Iris_Academic ,Iris_Academic,中,已完成,2026/05/24,2026年5月25日,是,3,重新确认时间,,
05/25/2026,Monday,schedule issue,教师不可用,,,,Nora_Academic,Nora_Academic,中,已完成,2026/05/28,2026年5月29日,是,1,重新通知学生,,
2026年5月28日,Thursday,排课问题,临时改课,Ivy_039,,,Nora_Academic ,NORA_ACADEMIC,高,完成,05/30/2026,2026-06-01,是,高,重新通知学生,,
2026年5月29日,Friday,communication,客户信息不一致,,,,Iris_Academic,Iris_Academic ,中,处理中,2026/06/02,,是,1,更换教师,继续跟进,
2026年6月2日,Tuesday,销售承诺冲突,客户信息不一致,,,,Nora_Academic,Nora_Academic,中,已完成,2026-06-06,2026-06-05,是,2,重新通知学生,,
2026/06/07,Sunday,排课,教师不可用,Sofia_105,,,Nora_Academic,Nora_Academic,中,处理中,2026-06-09,,是,3,更换教师,继续跟进,
2026-06-07,Sunday,时间冲突,教师不可用,Luna_133,,,Iris_Academic,Iris_Academic,低,待处理,2026-06-11,,是,2,重新确认时间,继续跟进,
06/10/2026,Wednesday,sales issue,临时改课,Lucas_002,,,Iris_Academic ,Iris_Academic,低,已完成,2026-06-14,2026-06-14,是,1,重新确认时间,,
06/22/2026,Monday,承诺错误,课程时间需重新确认,Snow_119,,,Nora_Academic,Nora_Academic,中,已完成,06/23/2026,2026/06/22,是,1,重新确认时间,,
2026/06/23,Tuesday,销售时间问题,客户信息不一致,DAVID_150,,,Cielo_Academic,Cielo_Academic,低,已完成,06/26/2026,2026年6月27日,是,高,调整班级安排,,
2026-06-28,Sunday,排课,客户信息不一致,Snow_119,,,Cielo_Academic,Cielo_Academic,中,已完成,2026/07/01,2026-06-28,是,3,重新确认时间,,
06/28/2026,Sunday,销售时间问题,教师不可用,Jerry_117,,,Iris_Academic,Iris_Academic,高,处理中,2026/07/01,,是,中,更换教师,继续跟进,
2026/07/05,Sunday,sales issue,课程时间需重新确认,Leo_12,,,Nora_Academic,Nora_Academic,高,已完成,2026/07/09,2026/07/06,是,1,重新通知学生,,
2026/07/09,Thursday,销售承诺冲突,教师不可用,Lawrence_074,,,Cielo_Academic,Cielo_Academic,低,已完成,2026-07-12,07/12/2026,是,高,重新确认时间,,
2026年7月15日,Wednesday,排课问题,临时改课,Wilson_166 ,,,Iris_Academic,Iris_Academic,高,已完成,2026/07/19,2026/07/15,是,1,更换教师,,
2026-07-16,Thursday,时间冲突,教师不可用,Ivy_039,,,Cielo_Academic,Cielo_Academic,低,完成,2026/07/20,2026-07-19,是,1,重新通知学生,,
2026/07/17,Friday,排课问题,课程时间需重新确认,Noah_028,,,Cielo_Academic,Cielo_Academic,高,已完成,2026-07-21,2026-07-20,是,2,重新确认时间,,
2026/07/18,Saturday,时间冲突,临时改课,Noah_028,,,Nora_Academic,Nora_Academic,中,已完成,07/19/2026,2026年7月20日,是,高,更换教师,,
2026/07/18,Saturday,排课,课程时间需重新确认,Lucy_106,,,Nora_Academic,Nora_Academic ,紧急,处理中,2026-07-22,,是,2,,继续跟进,
2026-07-22,Wednesday,排课问题,课程时间需重新确认,Sofia_105,,,Cielo_Academic,Cielo_Academic,中,已完成,2026/07/25,2026年7月23日,是,中,与客户沟通,,
2026/07/24,Friday,排课问题,临时改课,Noah_028 ,,,Cielo_Academic,Cielo_Academic,中,已完成,2026-07-28,2026/07/25,是,2,重新确认时间,,
2026/07/27,Monday,信息传递错误,课程时间需重新确认,Alfred_022,,,Cielo_Academic,Cielo_Academic,中,已完成,07/29/2026,08/01/2026,是,2,更换教师,,
2026-07-28,Tuesday,sales issue,客户信息不一致,Daniel_134,,,Nora_Academic,Nora_Academic,中,已完成,2026/07/30,2026-07-28,是,中,重新确认时间,,
2026-08-01,Saturday,排课,客户信息不一致,Jason_044,,,Nora_Academic,Nora_Academic,紧急,已完成,2026-08-05,08/01/2026,是,2,调整班级安排,,
08/02/2026,Sunday,信息传递错误,教师不可用,Elynn_123,,,Nora_Academic,Nora_Academi,中,完成,2026-08-04,2026-08-02,是,1,重新通知学生,,
2026-08-04,Tuesday,排课问题,课程时间需重新确认,Lucy_106,,,Nora_Academic,Nora_Academic,中,已完成,2026-08-06,2026-08-09,是,1,重新确认时间,,
08/05/2026,Wednesday,销售时间问题,课程时间需重新确认,Daniel_134,,,Cielo_Academic,Cielo_Academic,紧急,处理中,2026/08/06,,是,2,调整班级安排,继续跟进,
2026-08-06,Thursday,信息传递错误,教师不可用,Mia_175,,,Nora_Academic,Nora_Academic,高,已完成,2026/08/08,2026/08/10,是,中,更换教师,,
2026年8月9日,Sunday,销售承诺冲突,课程时间需重新确认,Grace_037,,,Cielo_Academic,Cielo_Academic,中,完成,2026-08-12,2026年8月14日,是,2,更换教师,,
2026-08-12,Wednesday,排课,客户信息不一致,Brian_009,,,Iris_Academic,Iris_Academic,高,处理中,2026-08-13,,是,高,更换教师,继续跟进,
2026年8月15日,Saturday,schedule issue,课程时间需重新确认,Sofia_105 ,,,Nora_Academic ,Nora_Academic ,低,已完成,2026/08/18,2026-08-18,是,1,,,
2026/08/16,Sunday,时间冲突,课程时间需重新确认,Wilson_166,,,Nora_Academic,Nora_Academic,中,待处理,2026年8月20日,,是,中,,继续跟进,
2026-08-16,Sunday,销售时间问题,教师不可用,Mason_038,,,Nora_Academic,Nora_Academic,中,已完成,2026-08-20,2026/08/19,是,高,,,
2026-08-16,Sunday,时间冲突,教师不可用,Brian_009,,,Iris_Academic,Iris_Academic ,紧急,已完成,2026-08-18,2026年8月18日,是,2,与客户沟通,,
2026/08/24,Monday,schedule issue,客户信息不一致,Snow_019 ,,,Cielo_Academic,Cielo_Academic,中,待处理,2026-08-27,,是,2,更换教师,继续跟进,
08/25/2026,Tuesday,销售承诺冲突,教师不可用,Elva_163,,,Nora_Academic,Nora_Academic,低,已完成,2026年8月27日,08/28/2026,是,2,更换教师,,
